Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.730762820582445,1.746717115992958,7.602917807497632,3.6331686486883936,18.021239557438353,13.252470110125712,1.1763614535000182,2.9203522343646373,13.347219973262773,4.362683372083436,790.1219482421875,112.92588806152344,1527.595947265625,802.225830078125,926.019775390625,2837.592529296875,895.4971923828125,1608.8883056640625,1354.1187744140625,557.814697265625,1169.0775146484375,48.140499114990234,973.3475952148438,547.2013549804688,575.0610961914062,1577.029052734375,192.84512329101562,1055.671875,3456.894775390625,1709.6971435546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,50.07038116455078,-1.4647161960601807,0.04491356760263443,50.09646987915039,-1.5309443473815918,0.06284284591674805,50.09807205200195,-1.4769855737686157,-0.03504373878240585,50.12517166137695,-1.5188056230545044,0.048913124948740005,50.12517166137695,-1.5188056230545044,0.048913124948740005,50.1569709777832,-1.4722895622253418,0.09506615251302719,49.97638702392578,-1.7238951921463013,0.21055610477924347,49.99311065673828,-1.5836100578308105,0.059874437749385834,50.04219436645508,-1.5000988245010376,0.06935068964958191,50.07038116455078,-1.4647161960601807,0.04491356760263443,10.033634841123131,11.10954029646801,-1.0,0.01025440077164215,6.0,0.0,24.3,4
L-1:2,5.992936108713741,11.438474512708757,16.550693973222756,12.921998399003988,10.765783761523142,3.219120337652977,3.304372655828394,4.182945099484055,11.22551586651254,8.459051470320869,2980.406982421875,244.5816650390625,2952.9833984375,1477.1064453125,531.4502563476562,2296.519775390625,653.569580078125,878.4031982421875,1785.2437744140625,879.6697387695312,856.7200927734375,122.83895874023438,1697.90234375,748.943115234375,653.3535766601562,1740.0927734375,103.05760192871094,1583.9613037109375,2610.955810546875,1627.321044921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,50.31521224975586,-1.0320801734924316,0.15018637478351593,50.31521224975586,-1.0320801734924316,0.15018637478351593,50.37868881225586,-1.028372049331665,-0.012725385837256908,50.34947967529297,-1.0159426927566528,0.03086012601852417,50.18860626220703,-1.2465510368347168,0.23784205317497253,50.18860626220703,-1.2465510368347168,0.23784205317497253,50.20209884643555,-1.1967335939407349,0.28040677309036255,50.239105224609375,-1.0587745904922485,0.28576165437698364,50.2877197265625,-1.0235576629638672,0.2156894952058792,50.2877197265625,-1.0235576629638672,0.2156894952058792,6.48652337574994,12.648454986543287,-1.0,0.007525583055687768,0.75,0.0,18.07,68
L-1:3,7.487172665072014,8.748182925771802,5.26662485304536,9.500319601597695,3.180850997275727,5.820713925439614,3.3590379440221234,2.142861429950334,2.19831987323941,7.997755030312831,3526.61181640625,1276.84228515625,4160.8583984375,3545.441650390625,2825.95849609375,3007.7919921875,914.974609375,3453.9677734375,3870.718505859375,2108.871337890625,4037.8583984375,486.3583679199219,4038.801513671875,2087.19580078125,605.4242553710938,3390.984130859375,685.4129028320312,3734.18212890625,3107.674072265625,2377.049072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.019607843831181526,50.23690414428711,-0.8337882161140442,0.8460124731063843,50.37311935424805,-0.8031833171844482,0.5688687562942505,50.37311935424805,-0.8031833171844482,0.5688687562942505,50.37311935424805,-0.8031833171844482,0.5688687562942505,50.349571228027344,-0.7924891710281372,0.6289603114128113,50.349571228027344,-0.7924891710281372,0.6289603114128113,50.349571228027344,-0.7924891710281372,0.6289603114128113,50.30913162231445,-0.6695318818092346,0.667123019695282,50.30913162231445,-0.6695318818092346,0.667123019695282,50.23690414428711,-0.8337882161140442,0.8460124731063843,10.931170741252469,5.055743066409426,-1.0,0.0037764401440144014,1.75,0.0,9.59,68
L-1:4,13.196947519336621,13.07289102811834,4.763068843033625,21.83705388151416,18.17073170366847,11.072739684352362,5.1944330015622455,0.9706248765320811,1.2744714635411807,4.313731145194517,5690.20166015625,476.2646484375,5049.62841796875,3140.17041015625,2852.43701171875,3798.053466796875,1877.9674072265625,4717.15185546875,4664.52294921875,2174.054443359375,4629.99365234375,328.5579833984375,3849.90625,3351.564208984375,1312.2388916015625,5443.5458984375,1580.098876953125,5624.87353515625,1410.5352783203125,468.6568298339844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.013725491240620613,0.011764707043766975,0.01568627543747425,56.312286376953125,-4.094864845275879,-3.6640405654907227,56.3177375793457,-4.152032852172852,-3.6215016841888428,56.3177375793457,-4.152032852172852,-3.6215016841888428,56.3177375793457,-4.152032852172852,-3.6215016841888428,56.31545639038086,-4.050178527832031,-3.782654047012329,56.31545639038086,-4.050178527832031,-3.782654047012329,56.31545639038086,-4.050178527832031,-3.782654047012329,56.30057907104492,-4.0715155601501465,-3.760660409927368,56.30057907104492,-4.0715155601501465,-3.760660409927368,56.312286376953125,-4.094864845275879,-3.6640405654907227,5.664924503372155,12.31786776120488,-1.0,0.002606700810926163,7.75,3.7,6.98,64
L-1:5,10.013568065887217,3.9212034206256208,3.385981066563212,6.908491902436557,1.865827205377208,3.9923709595810672,2.425016267475713,1.4849014944945713,1.5258078138111644,5.501229014996338,2126.84521484375,193.39749145507812,2015.7447509765625,1350.3780517578125,895.2958374023438,3150.29541015625,979.060791015625,2806.319580078125,2070.7080078125,2294.1640625,3737.013427734375,301.319580078125,2025.4677734375,1823.73046875,658.7819213867188,2853.287353515625,969.2191162109375,1752.1671142578125,2326.982421875,1487.5999755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,56.35151672363281,-4.307115077972412,-4.033121109008789,56.34632873535156,-4.281903266906738,-4.0628767013549805,56.34632873535156,-4.281903266906738,-4.0628767013549805,56.33991622924805,-4.276797771453857,-4.0277791023254395,56.33991622924805,-4.276797771453857,-4.0277791023254395,56.33858871459961,-4.304302215576172,-3.951279878616333,56.33858871459961,-4.304302215576172,-3.951279878616333,56.328983306884766,-4.281615734100342,-3.957432985305786,56.353294372558594,-4.3211164474487305,-4.016149044036865,56.35151672363281,-4.307115077972412,-4.033121109008789,4.277178310870207,12.72941660282215,1.0,0.005037230495665703,5.5,0.0,12.95,100
L-1:6,7.372882086320726,5.9721868758158205,18.852238251987977,11.153267097276707,2.174151819679239,8.800305309201281,8.867629382044191,6.428124139310786,7.744465377770843,0.8799983720601121,4788.46337890625,861.0210571289062,4579.638671875,1204.36474609375,698.1792602539062,2764.995849609375,1062.257080078125,3674.705810546875,2474.833251953125,1166.3536376953125,2881.20361328125,301.52069091796875,1570.0574951171875,1170.8807373046875,646.119140625,1805.204833984375,869.2718505859375,2877.805419921875,424.8945007324219,249.81158447265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,56.35176086425781,-4.30493688583374,-4.131474018096924,56.35176086425781,-4.30493688583374,-4.131474018096924,56.35075759887695,-4.275024890899658,-4.187432289123535,56.35075759887695,-4.275024890899658,-4.187432289123535,56.35075759887695,-4.275024890899658,-4.187432289123535,56.35270690917969,-4.2340874671936035,-4.254934310913086,56.35270690917969,-4.2340874671936035,-4.254934310913086,56.35669708251953,-4.2730302810668945,-4.215836524963379,56.35669708251953,-4.2730302810668945,-4.215836524963379,56.35283279418945,-4.301823616027832,-4.123620986938477,12.062818928193558,2.7547521572212315,-1.0,0.004535686376660588,2.25,0.0,9.95,64
L-1:7,14.40325976139257,5.333837374412052,6.366410943091751,2.037676680485246,1.07620824606183,7.220105064663214,3.558272985960263,0.6894765090789929,4.797246066272691,12.739332198443584,4472.17822265625,38.136566162109375,3483.951416015625,1896.4600830078125,1954.5975341796875,3886.2177734375,1332.79248046875,3985.435302734375,3883.5322265625,2818.423095703125,3394.94921875,161.5413818359375,1997.4620361328125,2632.63720703125,1952.5826416015625,4203.765625,2957.733154296875,4235.94580078125,3648.114990234375,1618.3079833984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.013725491240620613,0.013725491240620613,0.01568627543747425,56.374298095703125,-4.273468494415283,-4.382036209106445,56.374298095703125,-4.273468494415283,-4.382036209106445,56.374298095703125,-4.273468494415283,-4.382036209106445,56.374298095703125,-4.273468494415283,-4.382036209106445,56.390132904052734,-4.2185587882995605,-4.48850679397583,56.390132904052734,-4.2185587882995605,-4.48850679397583,56.376216888427734,-4.209218502044678,-4.486981391906738,56.37562561035156,-4.259430885314941,-4.36950159072876,56.37562561035156,-4.259430885314941,-4.36950159072876,56.37562561035156,-4.259430885314941,-4.36950159072876,10.004120740635475,12.063580723727553,-1.0,0.0038293741434444954,7.25,0.0,9.58,100
L-1:8,18.631225774289224,6.276207250618815,1.1175952365181265,5.2807183300882965,16.711174371253637,23.81980419523666,22.645310109207166,20.587492729278967,9.476440523930451,7.839101852173294,6309.87548828125,932.0232543945312,2892.6220703125,1469.6282958984375,2385.892333984375,4364.14892578125,1217.124755859375,3830.41552734375,3367.9970703125,5051.67041015625,4692.5517578125,928.5843505859375,4396.3955078125,2934.46337890625,607.092529296875,5398.5234375,2372.629638671875,5260.2265625,5600.8837890625,2756.925048828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,56.446868896484375,-4.501745223999023,-4.571996212005615,56.43549346923828,-4.459304332733154,-4.572297096252441,56.44414138793945,-4.496993064880371,-4.576824188232422,56.44414138793945,-4.496993064880371,-4.576824188232422,56.44414138793945,-4.496993064880371,-4.576824188232422,56.44414138793945,-4.496993064880371,-4.576824188232422,56.44490051269531,-4.451003551483154,-4.633215427398682,56.44490051269531,-4.451003551483154,-4.633215427398682,56.44490051269531,-4.451003551483154,-4.633215427398682,56.44490051269531,-4.451003551483154,-4.633215427398682,6.8425771326603435,13.654151182382636,-1.0,0.002724159402241594,6.5,11.26,6.25,36
L-1:9,8.830676656957074,4.5626626300291875,10.606177576142585,10.438768957055355,14.44966015153027,10.774670348468396,7.438079784236763,5.173779862683732,2.268387898807703,5.874455855288901,3964.8203125,33.01132583618164,1941.4119873046875,3214.437744140625,735.8031616210938,3259.88232421875,1082.6156005859375,2208.995849609375,2787.88525390625,1971.14208984375,2795.063720703125,3.9097423553466797,2504.07470703125,1498.6732177734375,1710.30322265625,4293.72509765625,858.7302856445312,2832.259765625,2172.20361328125,2492.485107421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.019607843831181526,56.48807144165039,-4.5109100341796875,-4.66899299621582,56.48807144165039,-4.5109100341796875,-4.66899299621582,56.486915588378906,-4.512328147888184,-4.625034809112549,56.486915588378906,-4.512328147888184,-4.625034809112549,56.484745025634766,-4.547194957733154,-4.565176963806152,56.484745025634766,-4.547194957733154,-4.565176963806152,56.484745025634766,-4.547194957733154,-4.565176963806152,56.480796813964844,-4.54594087600708,-4.593680381774902,56.49673843383789,-4.558150291442871,-4.5995378494262695,56.49673843383789,-4.558150291442871,-4.5995378494262695,2.2729550403557295,13.555055027916774,1.0,0.00454287921710018,7.0,0.0,10.08,36
L-1:10,17.584838995566606,24.895648578426428,10.117142276655525,5.2813380130926895,6.117263304483005,8.317653807905451,5.169601915584074,8.071658491134368,8.5638977959761,2.074978519261622,4148.09423828125,1533.3402099609375,3372.82421875,2512.571044921875,39.48729705810547,4122.13134765625,1289.5484619140625,4541.4921875,3212.781494140625,2743.826171875,3786.26318359375,153.4351806640625,3407.891845703125,2552.030517578125,583.2423706054688,3046.743408203125,1178.7017822265625,3586.6748046875,3023.98828125,3559.94873046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,56.50347900390625,-4.63945198059082,-4.471759796142578,56.503536224365234,-4.6338725090026855,-4.497006416320801,56.503536224365234,-4.6338725090026855,-4.497006416320801,56.50773239135742,-4.601055145263672,-4.568511009216309,56.50773239135742,-4.601055145263672,-4.568511009216309,56.50773239135742,-4.601055145263672,-4.568511009216309,56.50743103027344,-4.621289253234863,-4.500885009765625,56.50743103027344,-4.621289253234863,-4.500885009765625,56.50347900390625,-4.63945198059082,-4.471759796142578,56.50347900390625,-4.63945198059082,-4.471759796142578,13.889300151246147,7.1141878022016645,1.0,0.004218882752761257,2.75,0.0,11.35,64
