Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.6307048980426355,3.839718752433926,3.628400492612162,11.451891227082468,1.311289814730317,6.092229931013266,11.81698159079013,0.23229192031024923,8.728308420288085,2.8715729191807213,1112.6859130859375,163.49026489257813,878.7879638671875,337.5784606933594,230.82772827148438,617.376953125,7.212878227233887,684.052734375,778.9385375976563,294.4306640625,1248.0968017578125,190.58737182617188,623.7454223632813,452.5118408203125,802.1311645507813,579.1075439453125,479.0962219238281,1064.98046875,802.2933349609375,193.3008575439453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,6.25,-14.90625,-17.734375,6.09375,-14.453125,-14.453125,6.046875,-14.65625,-14.65625,5.96875,-14.96875,-15.84375,5.9375,-16.09375,-20.609375,5.84375,-21.515625,-26.59375,6.265625,-21.453125,-29.203125,6.375,-19.28125,-28.109375,6.40625,-16.515625,-25.765625,6.328125,-16.703125,-22.265625,4.9693506291512515,9.893405190618363,1.0,0.015611471861471863,0.0,0.0,28.85,68
L-1:2,0.8776211543357518,4.214213492652539,9.67453718186122,7.2313494567831205,14.41332829853388,2.610777487019329,1.1493210019215394,2.045102334199624,2.318244326662685,3.224581933132613,836.0869140625,0.01837112382054329,1143.3941650390625,339.8442077636719,804.1527099609375,1169.495361328125,45.34029006958008,1123.857421875,661.0990600585938,131.1850128173828,834.9710693359375,120.47774505615234,606.3714599609375,303.174560546875,437.0577392578125,1473.5355224609375,228.66310119628906,1298.4249267578125,243.54312133789063,483.8898620605469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,4.3125,-16.59375,-11.0,2.875,-20.75,-13.921875,3.03125,-19.609375,-13.8125,3.28125,-18.125,-14.390625,3.78125,-21.921875,-20.90625,3.96875,-24.765625,-24.765625,4.0625,-23.75,-23.75,4.125,-21.21875,-22.265625,4.15625,-16.890625,-15.109375,4.3125,-16.59375,-11.0,9.473137345449175,4.456051334813261,1.0,0.013566115702479339,1.3333333730697632,0.0,23.45,108
L-1:3,0.45053060803476674,5.062407614792617,3.896491719713229,4.533703591319377,16.462215046476192,11.499776414329835,3.684838674808638,2.247868912529445,3.9404333538039515,1.7627982723860793,1444.176025390625,109.4982681274414,599.0107421875,427.6614685058594,214.49874877929688,1276.0626220703125,15.113581657409668,1110.01611328125,564.914794921875,1323.2933349609375,956.0042724609375,129.5309295654297,785.3646850585938,1027.8975830078125,465.9709167480469,1806.733154296875,248.07498168945313,930.3060913085938,720.01123046875,496.3207702636719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,357.9375,-17.4375,-10.953125,358.203125,-16.890625,-11.171875,356.546875,-17.921875,-13.296875,356.9375,-20.203125,-17.53125,357.21875,-22.734375,-20.78125,357.421875,-25.578125,-24.59375,357.5625,-24.765625,-24.765625,357.65625,-22.890625,-23.90625,357.703125,-14.65625,-12.15625,357.703125,-14.65625,-12.15625,16.840214566543214,10.785033656739348,1.0,0.01139599116161616,3.333333432674408,0.0,20.63,100
L-1:4,9.825768011830549,7.342653875345504,3.328107758973139,10.55591525979084,4.569024500858077,16.75777165828258,19.909360507925772,14.244533783590882,7.96909070345751,7.043835010639292,388.4625244140625,23.609800338745117,97.0416030883789,891.2429809570313,567.9823608398438,920.3607177734375,229.46400451660156,724.7924194335938,1122.77783203125,369.32904052734375,679.6705322265625,4.468350887298584,1319.234130859375,719.6686401367188,531.3402709960938,1202.7711181640625,310.064208984375,704.0527954101563,476.6907958984375,494.58148193359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,0.32999998331069946,356.6875,-22.046875,-20.109375,356.84375,-20.34375,-21.328125,356.84375,-20.34375,-21.328125,356.9375,-22.8125,-24.703125,356.875,-26.125,-29.09375,356.875,-26.125,-29.09375,356.765625,-26.0,-31.0625,356.53125,-23.90625,-24.859375,356.53125,-23.90625,-24.859375,356.25,-21.78125,-21.78125,18.542652692128378,15.117379012771247,1.0,0.013643845866068089,4.666666805744171,5.13,20.84,4
L-1:5,2.2542135905585456,4.128146417499381,3.5046302502710285,3.8287396441810104,1.1085046274660044,2.1983171599164737,2.357955754220291,2.3722062032961078,2.189375206202374,0.9827352658654961,1453.0499267578125,144.77731323242188,514.546142578125,674.8750610351563,131.58120727539063,1177.84326171875,49.328800201416016,147.87522888183594,144.78582763671875,435.71929931640625,834.654052734375,106.3954086303711,1349.0623779296875,1579.7510986328125,621.8240356445313,1201.166259765625,427.2937316894531,1015.2404174804688,975.1741333007813,675.6072387695313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,356.71875,-17.03125,-13.359375,356.71875,-17.03125,-13.359375,356.671875,-17.5625,-13.75,356.8125,-19.890625,-16.15625,357.171875,-24.546875,-23.59375,357.15625,-27.953125,-26.015625,357.078125,-29.578125,-25.328125,357.078125,-29.578125,-25.328125,357.0,-25.359375,-23.421875,356.828125,-17.21875,-14.484375,5.69924271408776,11.055193424986593,1.0,0.01535050505050505,8.66666692495346,0.0,21.71,64
L-1:6,8.504729229520324,1.7344918147696342,3.394572432560693,3.324995999551197,1.7863540433459923,2.188338277538796,8.549751056176,9.195286706787103,1.3925476836806483,5.242205438235905,1312.4951171875,20.43987274169922,1023.9954833984375,446.84765625,196.27923583984375,450.4757080078125,57.2366828918457,401.8782043457031,1144.520263671875,572.974609375,1296.9764404296875,415.7264404296875,730.7742309570313,544.0244750976563,868.5540161132813,1151.305908203125,737.9972534179688,576.3186645507813,754.4228515625,613.6148681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,357.0,-21.359375,-21.359375,357.046875,-17.796875,-17.796875,357.140625,-18.234375,-19.15625,357.421875,-19.125,-20.96875,357.546875,-24.5,-29.8125,357.484375,-24.3125,-31.5625,357.21875,-23.140625,-29.9375,357.015625,-23.203125,-28.203125,356.90625,-23.515625,-28.59375,356.96875,-21.515625,-27.265625,11.227555196562585,4.783182555140876,1.0,0.013512784090909091,0.3333333432674408,0.0,27.18,44
L-1:7,8.258023910966946,17.89387560320815,12.788747575819723,10.141383306030644,3.2718328631998777,5.05961914942775,2.502152583833171,14.047088878081409,1.887448939607733,3.9293435130141834,1763.842041015625,520.1644287109375,588.9827880859375,1046.0726318359375,31.499481201171875,1173.036865234375,156.6394500732422,1188.1812744140625,827.68603515625,399.51239013671875,1181.431640625,193.42416381835938,1316.1676025390625,693.0355224609375,1466.2760009765625,713.9797973632813,803.0773315429688,1231.3602294921875,653.3468627929688,949.9838256835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,353.34375,-17.25,-17.25,353.15625,-15.859375,-16.796875,353.15625,-15.859375,-16.796875,353.0625,-20.9375,-19.921875,353.0,-17.96875,-18.890625,353.9375,-25.265625,-29.328125,353.8125,-22.109375,-26.0625,353.8125,-22.109375,-26.0625,353.578125,-14.796875,-19.03125,353.578125,-14.796875,-19.03125,3.8828047172469633,15.436729948082615,1.0,0.010262809917355372,1.666666716337204,0.0,17.74,100
L-1:8,8.992732624535204,6.764148067088156,12.242348998795164,14.99329021029287,2.460326533628719,1.7966506004530773,5.287154413499213,10.905478216214847,6.866292094914623,6.55557451252989,1185.33984375,30.171541213989258,423.8403625488281,807.712890625,24.02678108215332,1125.70068359375,10.216012001037598,1311.9962158203125,779.8565063476563,397.48870849609375,1317.9884033203125,377.4085998535156,887.6004638671875,86.23371124267578,540.7482299804688,912.301025390625,218.77365112304688,2352.5322265625,1199.8682861328125,865.152099609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,359.90625,-17.09375,-12.484375,359.859375,-17.09375,-12.484375,359.78125,-17.09375,-12.484375,359.703125,-18.859375,-15.921875,359.5625,-18.390625,-14.625,0.046875,-23.421875,-23.421875,0.046875,-21.03125,-21.03125,0.046875,-21.03125,-21.03125,359.953125,-17.21875,-14.484375,359.953125,-17.21875,-14.484375,6.351385979233882,9.449040366014223,1.0,0.009465909090909093,3.6666667759418488,5.05,20.23,100
L-1:9,1.1665693922601876,2.9058449685256087,9.883671832747744,8.363064285437869,1.4556372696723698,5.583656390114367,17.676316136274526,21.789023832113337,20.812867955290873,13.587054882051051,1630.962646484375,121.63551330566406,926.0271606445313,958.4998168945313,185.21295166015625,550.544921875,90.6320571899414,1645.3157958984375,598.649658203125,330.5739440917969,73.48841857910156,551.5750732421875,267.8397521972656,513.384765625,413.55535888671875,2330.607666015625,371.91192626953125,1522.8330078125,1009.019775390625,1313.6947021484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,359.8125,-19.984375,-18.125,359.828125,-19.875,-18.953125,359.8125,-20.046875,-20.046875,359.8125,-20.046875,-20.046875,359.796875,-19.546875,-21.453125,359.828125,-24.265625,-23.265625,359.828125,-24.265625,-23.265625,359.8125,-20.703125,-18.859375,359.8125,-20.703125,-18.859375,359.8125,-19.984375,-18.125,11.072306726001115,18.56029682570466,1.0,0.013013787160706593,10.000000298023224,0.0,17.26,4
L-1:10,1.939654017157878,5.194091923513453,1.1984532716245635,0.7432063807964369,9.383621358031249,0.31910420091068536,6.550790134319009,14.0800482332422,11.620984549092375,0.6225252476133696,1042.5712890625,66.20587158203125,921.0885620117188,480.6519775390625,380.7696533203125,892.9666748046875,15.237092971801758,975.1113891601563,1123.3421630859375,367.7400817871094,1426.430908203125,85.55579376220703,239.55303955078125,710.7088623046875,396.51165771484375,692.963623046875,166.88502502441406,1296.0860595703125,576.984130859375,572.5891723632813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,359.609375,-25.203125,-24.21875,359.546875,-24.21875,-23.265625,359.546875,-22.953125,-23.90625,359.578125,-23.71875,-23.71875,359.875,-25.875,-29.9375,359.96875,-29.515625,-33.890625,0.015625,-26.9375,-33.203125,0.0,-26.96875,-32.328125,359.96875,-22.609375,-27.453125,359.9375,-22.03125,-24.859375,13.696951829757518,8.919411141001397,1.0,0.014751567398119123,0.6666666865348816,0.0,26.89,0
