Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,21.786291513448354,10.86605067827308,16.075496211503946,6.342832772286044,7.6011864753162115,5.533555954969308,8.415527122429227,1.890232898392779,17.610888278260816,26.61323466737289,1777.181640625,159.72872924804688,934.3634643554688,611.34814453125,382.2976379394531,1170.6845703125,325.85687255859375,1168.998046875,1123.872314453125,1080.8350830078125,2060.439208984375,21.420124053955078,1263.9566650390625,959.3698120117188,19.57855987548828,2021.814697265625,1014.9432373046875,1353.9862060546875,1380.6951904296875,1074.2830810546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,344.48272705078125,-47.19972610473633,-10.533129692077637,344.8931579589844,-46.41588592529297,-10.609212875366211,345.2302551269531,-46.14084243774414,-10.758654594421387,343.347900390625,-48.332916259765625,-13.700007438659668,343.347900390625,-48.332916259765625,-13.700007438659668,343.8671875,-49.09279251098633,-14.058396339416504,343.8671875,-49.09279251098633,-14.058396339416504,343.9176330566406,-48.183101654052734,-12.179630279541016,344.48272705078125,-47.19972610473633,-10.533129692077637,344.48272705078125,-47.19972610473633,-10.533129692077637,10.735483707749262,13.94557181209209,1.0,0.009286931818181817,11.333333671092987,0.0,14.01,36
L-1:2,4.981868994431649,4.47255041407872,7.291892391011609,4.855790074479386,6.035047333171083,7.779116841013422,6.271251084262551,18.323602582081996,24.166469698902723,12.029515091663985,2040.9105224609375,397.9986572265625,1409.8111572265625,857.4324340820312,659.5816040039062,1592.023193359375,893.2070922851562,2188.689697265625,1838.0333251953125,1303.088134765625,1391.062255859375,499.7122497558594,1367.2156982421875,1472.1636962890625,246.7467041015625,1850.9052734375,617.7056274414062,3211.751220703125,1462.8292236328125,1291.197509765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,340.7242431640625,-43.49619674682617,-12.036905288696289,340.7242431640625,-43.49619674682617,-12.036905288696289,340.8920593261719,-46.73075866699219,-13.65286636352539,340.8920593261719,-46.73075866699219,-13.65286636352539,340.61737060546875,-49.916358947753906,-15.24460506439209,340.61737060546875,-49.916358947753906,-15.24460506439209,339.9194641113281,-47.22441482543945,-15.480911254882812,340.1878662109375,-43.793006896972656,-12.747766494750977,340.1878662109375,-43.793006896972656,-12.747766494750977,340.1878662109375,-43.793006896972656,-12.747766494750977,18.013704541547817,15.243681749190962,1.0,0.006339979722879352,4.33333346247673,0.0,10.72,68
L-1:3,9.834757008949083,4.215833901456852,2.9451165454098236,4.24382606674881,1.9942275360777721,6.448346489958443,9.992854939748,8.07319450775294,12.601389915474467,16.09139171092332,1807.574951171875,560.59228515625,1576.699462890625,918.9735717773438,521.3765258789062,2602.2216796875,92.5754623413086,983.2183227539062,821.857177734375,12.891021728515625,2102.757080078125,59.37298583984375,2122.424072265625,1402.9771728515625,528.6663208007812,1489.6094970703125,685.9552612304688,1902.4498291015625,2159.98876953125,1268.3602294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,339.08404541015625,-40.60608673095703,-8.87252426147461,339.9356384277344,-41.330509185791016,-9.158734321594238,339.9356384277344,-41.330509185791016,-9.158734321594238,340.45062255859375,-42.30657958984375,-9.451781272888184,340.45062255859375,-42.30657958984375,-9.451781272888184,336.9530029296875,-43.65721893310547,-11.608529090881348,336.9530029296875,-43.65721893310547,-11.608529090881348,338.2731628417969,-41.904727935791016,-9.543455123901367,338.2731628417969,-41.904727935791016,-9.543455123901367,339.08404541015625,-40.60608673095703,-8.87252426147461,9.75746565361696,11.047634657531168,1.0,0.006533484309285021,7.666666895151138,0.0,11.54,100
L-1:4,4.752788781400151,8.995376354043405,3.2464528532820234,5.842474318312047,0.8026761536309125,13.862520794251695,23.554757564101823,30.69629946659352,20.549568855915343,6.364207866641847,1952.7086181640625,899.1151733398438,1159.6029052734375,1249.062744140625,1182.2906494140625,1833.535888671875,751.8252563476562,2765.46630859375,2672.54833984375,944.4537963867188,2411.9287109375,512.7142944335938,1609.216552734375,2032.870361328125,1384.3201904296875,3191.939453125,46.227359771728516,3578.3798828125,2644.583251953125,2165.383544921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.03921568766236305,340.826416015625,-41.234764099121094,-8.51196002960205,340.826416015625,-41.234764099121094,-8.51196002960205,339.28143310546875,-42.061805725097656,-10.09015941619873,340.2547912597656,-42.790748596191406,-10.687006950378418,340.2547912597656,-42.790748596191406,-10.687006950378418,340.2547912597656,-42.790748596191406,-10.687006950378418,341.0479431152344,-41.74405288696289,-8.41622543334961,341.0479431152344,-41.74405288696289,-8.41622543334961,341.0479431152344,-41.74405288696289,-8.41622543334961,341.0479431152344,-41.74405288696289,-8.41622543334961,9.796619877649098,23.392468264504096,1.0,0.005504411200613731,9.666666954755783,1.57,8.2,100
L-1:5,4.829533465774938,8.007834624291634,5.60543302959444,9.200149248382333,7.889934708114271,1.3443203690574934,10.559149208390298,19.094343058483272,22.6695411061227,23.45036426068823,1800.3175048828125,472.0375671386719,1040.866455078125,945.8197021484375,811.9534301757812,1424.2562255859375,517.26904296875,1660.59912109375,1028.4141845703125,996.906494140625,332.9643859863281,401.36224365234375,1029.63427734375,1069.2281494140625,361.9159851074219,1504.2926025390625,564.0967407226562,1097.9097900390625,1619.7889404296875,2081.209716796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,341.1629943847656,-41.74309539794922,-9.843245506286621,341.1629943847656,-41.74309539794922,-9.843245506286621,341.9762268066406,-43.99431610107422,-10.909003257751465,341.9762268066406,-43.99431610107422,-10.909003257751465,342.141357421875,-46.22499084472656,-12.493354797363281,342.4066467285156,-47.98588180541992,-12.124168395996094,339.8826904296875,-45.706905364990234,-13.119401931762695,339.8826904296875,-45.706905364990234,-13.119401931762695,340.69879150390625,-41.794036865234375,-10.352943420410156,340.69879150390625,-41.794036865234375,-10.352943420410156,8.00608366578986,17.575359339424267,1.0,0.008179144385026737,7.3333335518836975,0.0,13.11,100
L-1:6,2.5015024443081577,8.092234127233453,10.20606205142979,17.009453355745958,9.683303722033626,7.060806266692181,5.445247042082093,15.833201740692521,21.501673600103025,7.558017329270241,2262.2177734375,387.3066101074219,1847.5653076171875,735.037353515625,351.2586364746094,1525.38671875,605.0198974609375,1773.440185546875,1640.7540283203125,1461.2205810546875,2130.150390625,1161.808837890625,1746.9632568359375,1688.947021484375,297.4900207519531,1804.172607421875,452.3301086425781,3458.4814453125,1514.1671142578125,1376.4688720703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,341.4530944824219,-40.33315658569336,-10.336024284362793,341.4530944824219,-40.33315658569336,-10.336024284362793,341.60528564453125,-43.20805740356445,-11.48583698272705,341.428466796875,-45.153934478759766,-13.335625648498535,341.428466796875,-45.153934478759766,-13.335625648498535,341.3252258300781,-46.64040756225586,-13.588827133178711,340.55328369140625,-44.178680419921875,-14.516571998596191,340.55328369140625,-44.178680419921875,-14.516571998596191,340.410888671875,-41.217620849609375,-11.736893653869629,340.410888671875,-41.217620849609375,-11.736893653869629,19.928709295562896,24.92707244911934,1.0,0.006864669421487603,3.333333432674408,0.0,13.29,0
L-1:7,10.875014530550184,2.1175326624508553,2.245286138888704,1.8590068982340986,0.99700545345514,2.527540119679654,8.210863148913589,11.19074495187603,4.515047952326253,2.1325403940036,1990.484619140625,176.9188232421875,1169.6895751953125,319.2657470703125,518.4522705078125,1721.5028076171875,459.8773498535156,1886.4320068359375,1137.0313720703125,1270.2406005859375,1252.3934326171875,137.13417053222656,133.34136962890625,239.79505920410156,815.9954223632812,2027.20166015625,388.4985656738281,1796.3223876953125,1434.1082763671875,652.4910278320312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,341.1922607421875,-45.69308090209961,-14.811811447143555,341.77435302734375,-46.15245056152344,-14.769852638244629,341.77435302734375,-46.15245056152344,-14.769852638244629,342.50244140625,-47.963050842285156,-16.73649024963379,342.50244140625,-47.963050842285156,-16.73649024963379,341.83160400390625,-50.04072952270508,-17.991247177124023,341.6337890625,-51.33048629760742,-17.11159896850586,340.7002258300781,-47.28017807006836,-17.065139770507812,340.7002258300781,-47.28017807006836,-17.065139770507812,341.1922607421875,-45.69308090209961,-14.811811447143555,9.315995170322688,8.362180736447794,1.0,0.007807782623280779,5.333333492279053,0.0,13.3,0
L-1:8,11.006408462966574,7.016966579742958,4.25412300472131,5.512020850049585,17.53609112549869,11.00225046088012,10.968278405843424,14.346662451860585,2.2123970103960073,2.538374815433028,3095.828857421875,182.73013305664062,2939.968994140625,1725.8275146484375,1252.780517578125,3466.16943359375,264.0037841796875,3937.4873046875,2243.62451171875,2096.343017578125,6542.29345703125,1519.0938720703125,4056.9013671875,2150.72900390625,4.931351661682129,3232.41162109375,1715.2154541015625,3116.3447265625,1545.859619140625,793.6048583984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,341.781494140625,-45.62944793701172,-16.712482452392578,341.99139404296875,-46.85286331176758,-18.535524368286133,341.99139404296875,-46.85286331176758,-18.535524368286133,341.99139404296875,-46.85286331176758,-18.535524368286133,341.99139404296875,-46.85286331176758,-18.535524368286133,341.8331298828125,-47.201351165771484,-18.1260929107666,341.8331298828125,-47.201351165771484,-18.1260929107666,341.8331298828125,-47.201351165771484,-18.1260929107666,342.5918884277344,-44.59568405151367,-16.168033599853516,341.781494140625,-45.62944793701172,-16.712482452392578,7.299824320148059,6.242152518134447,1.0,0.004144017494532959,1.0000000298023224,2.78,7.58,0
L-1:9,8.502708730659096,17.690584854575064,7.060689455976253,1.4480004167424054,0.9568315892962633,8.756347165411759,1.9435253999014697,4.854143719077901,7.01739161763108,4.373062270204627,2079.822998046875,326.13623046875,816.620361328125,1103.8253173828125,488.09112548828125,964.595458984375,239.9188232421875,866.2946166992188,1120.836669921875,1204.387939453125,1364.5318603515625,34.635833740234375,1311.238525390625,1003.06884765625,1134.0186767578125,2526.946533203125,372.05206298828125,2029.7177734375,2037.30322265625,1359.41357421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,343.07220458984375,-45.85858917236328,-14.376049041748047,343.36431884765625,-45.36469268798828,-14.367332458496094,343.6872253417969,-46.04926300048828,-14.739147186279297,341.7531433105469,-48.8028678894043,-18.522539138793945,342.13470458984375,-49.157470703125,-18.76712989807129,342.13470458984375,-49.157470703125,-18.76712989807129,342.7091064453125,-47.60343551635742,-16.887468338012695,342.7091064453125,-47.60343551635742,-16.887468338012695,342.7091064453125,-47.60343551635742,-16.887468338012695,343.07220458984375,-45.85858917236328,-14.376049041748047,8.347357655039755,14.369988739916426,1.0,0.009019534184823442,2.3333334028720856,0.0,13.72,0
L-1:10,2.109428210505205,11.968312620715558,6.540236652125431,11.878521733902089,9.653701504927065,9.553477984340528,6.346886104673467,2.798343701620448,5.15814630152131,9.629006817245712,59.986183166503906,22.869956970214844,1804.3038330078125,790.150146484375,718.6326293945312,611.1819458007812,672.9014892578125,1477.4337158203125,1253.24267578125,860.6173095703125,1658.1143798828125,12.105081558227539,1326.0701904296875,1277.35205078125,448.07183837890625,2547.42919921875,752.6045532226562,1191.53955078125,51.83763122558594,266.1457824707031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,342.82470703125,-39.03177261352539,-11.443070411682129,340.6249084472656,-38.285430908203125,-12.717915534973145,341.8926696777344,-39.72303771972656,-13.00146770477295,341.77691650390625,-41.65570831298828,-14.734271049499512,341.77691650390625,-41.65570831298828,-14.734271049499512,341.95294189453125,-42.36252212524414,-14.971613883972168,341.5443420410156,-41.53350830078125,-13.852777481079102,341.5443420410156,-41.53350830078125,-13.852777481079102,341.5443420410156,-41.53350830078125,-13.852777481079102,339.7934265136719,-38.71717834472656,-13.302827835083008,5.5688510545885315,6.237505566043651,1.0,0.00799688904251642,2.0000000596046448,0.0,13.22,0
