Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.642732357909518,4.998474957009827,14.098310942274468,6.24425410972548,1.2342706541112216,3.8991788543437758,10.488597261411973,28.626110428215846,11.009417452984822,5.877209309644622,3953.841064453125,1410.812255859375,549.1055297851562,3.556061029434204,167.10169982910156,727.8593139648438,26.16114616394043,825.8863525390625,803.1038208007812,559.4241943359375,1697.8790283203125,109.1444091796875,1294.0255126953125,209.62738037109375,202.07904052734375,865.3361206054688,2155.5078125,2005.623291015625,322.98583984375,1192.336181640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.019607843831181526,168.66912841796875,-35.27171325683594,-3.480309247970581,168.66912841796875,-35.27171325683594,-3.480309247970581,166.75360107421875,-41.4261360168457,-8.2962064743042,168.8392333984375,-41.44842529296875,-9.668344497680664,168.8392333984375,-41.44842529296875,-9.668344497680664,170.90185546875,-40.328834533691406,-12.21721363067627,171.61639404296875,-39.92155838012695,-13.018478393554688,170.3131103515625,-40.42076110839844,-12.573680877685547,167.58837890625,-38.673683166503906,-7.880213737487793,167.58837890625,-38.673683166503906,-7.880213737487793,11.25804641699011,8.241568506381512,1.0,0.00992845117845118,4.33333346247673,0.0,16.85,100
L-1:2,5.806079010672168,5.682981684084784,11.289192485297525,4.399085624476807,5.779778762143172,5.039309673797169,11.483576502167757,12.76671358995065,14.036458168664284,17.14332008592768,1603.82177734375,217.2015380859375,516.4674072265625,886.8029174804688,409.82489013671875,1179.7464599609375,310.4983215332031,1052.3453369140625,807.4060668945312,787.2888793945312,1159.8956298828125,393.0501708984375,964.5709838867188,744.5130004882812,506.5536193847656,1313.533447265625,183.65402221679688,1170.2181396484375,1340.951904296875,1472.27197265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,170.3642578125,-40.418338775634766,-10.186367988586426,167.7523193359375,-41.794639587402344,-13.374797821044922,168.96685791015625,-42.100494384765625,-13.869035720825195,168.96685791015625,-42.100494384765625,-13.869035720825195,170.97821044921875,-42.71966552734375,-15.998342514038086,171.951416015625,-42.42684555053711,-16.9111328125,171.902099609375,-42.64290237426758,-17.455495834350586,171.902099609375,-42.64290237426758,-17.455495834350586,169.9271240234375,-42.630123138427734,-14.395853996276855,169.9271240234375,-42.630123138427734,-14.395853996276855,10.169358682922203,10.07412400609203,1.0,0.009595561918396564,7.3333335518836975,0.0,15.32,108
L-1:3,1.2954165397686732,1.6486465707818527,1.8969888443398122,7.961569830977722,7.90477634362659,3.38393161565411,9.138718427989797,1.2818830518127033,0.6360428247489239,2.131397444293984,1220.065185546875,228.4622802734375,986.8921508789062,1131.45556640625,702.4730834960938,1136.5706787109375,587.1740112304688,1424.5709228515625,751.3006591796875,947.3347778320312,2151.36669921875,542.462158203125,1431.0701904296875,1029.3255615234375,358.3787536621094,415.7032165527344,1067.2625732421875,2632.16455078125,1762.4141845703125,767.0750732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.02352941408753395,165.56768798828125,-41.72733688354492,-19.665925979614258,167.0355224609375,-41.0429801940918,-16.944400787353516,168.193603515625,-42.415687561035156,-16.099504470825195,168.193603515625,-42.415687561035156,-16.099504470825195,169.8607177734375,-43.75448989868164,-18.305950164794922,171.2044677734375,-43.94197463989258,-20.168970108032227,171.2044677734375,-43.94197463989258,-20.168970108032227,170.063720703125,-44.28290557861328,-19.85271644592285,169.078369140625,-42.56449890136719,-15.564584732055664,169.078369140625,-42.56449890136719,-15.564584732055664,17.81892739473996,7.541732841454483,1.0,0.00824429865666979,0.0,0.0,15.08,100
L-1:4,3.628079059214172,2.72996139345004,1.2329347286735064,6.844206984878883,12.080585688832713,14.08796718069837,17.148562000470054,16.392416891396365,1.2969708193442504,2.373398822337329,2444.641357421875,99.64798736572266,1756.49169921875,520.2626342773438,1085.79638671875,4159.51416015625,384.5961608886719,1876.6673583984375,518.3448486328125,657.286376953125,1142.24560546875,84.30775451660156,1358.703369140625,478.9481506347656,29.492555618286133,986.6522827148438,1304.9595947265625,2674.5341796875,1734.4146728515625,1180.43896484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.027450982481241226,0.02352941408753395,0.021568628028035164,0.021568628028035164,170.710693359375,-34.970985412597656,-14.643075942993164,170.710693359375,-34.970985412597656,-14.643075942993164,171.869140625,-34.947166442871094,-14.024062156677246,171.869140625,-34.947166442871094,-14.024062156677246,170.8695068359375,-40.777774810791016,-17.011245727539062,171.8779296875,-40.159088134765625,-18.584457397460938,172.02911376953125,-39.48997116088867,-20.047744750976562,171.80364990234375,-36.79278564453125,-17.94716453552246,171.80364990234375,-36.79278564453125,-17.94716453552246,171.80364990234375,-36.79278564453125,-17.94716453552246,12.917018111192863,20.21549626158707,1.0,0.009483791402396054,4.33333346247673,2.84,15.38,100
L-1:5,7.374622452929148,1.4220883767262376,3.774309195275875,3.2919197401771134,6.291745866486594,4.354491882914992,1.606723769944566,6.646225751115893,3.7663453527141173,4.413178348924546,891.1444702148438,23.476741790771484,569.1336059570312,601.4340209960938,356.20001220703125,1741.5948486328125,46.22431564331055,787.4232177734375,1466.7933349609375,963.4639892578125,992.6618041992188,78.40279388427734,1001.284912109375,706.9579467773438,773.4295654296875,1528.9947509765625,750.1055297851562,1696.56494140625,618.3345336914062,452.03497314453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.01568627543747425,0.027450982481241226,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.01568627543747425,169.85748291015625,-30.4696044921875,-16.365928649902344,169.60382080078125,-29.9544677734375,-15.37839126586914,170.28741455078125,-30.684736251831055,-15.308423042297363,171.5655517578125,-32.13017272949219,-15.305780410766602,171.5655517578125,-32.13017272949219,-15.305780410766602,172.4031982421875,-32.5450325012207,-16.020465850830078,172.6761474609375,-32.660797119140625,-16.422809600830078,172.6761474609375,-32.660797119140625,-16.422809600830078,172.193359375,-33.02858352661133,-16.342086791992188,169.95196533203125,-31.26371192932129,-16.982330322265625,2.0575460789577398,5.982150354429726,1.0,0.010674486803519062,2.6666667461395264,0.0,16.64,0
L-1:6,2.6300518049957784,9.696370251226764,11.722959419894037,12.377353898498239,16.264615133952443,2.4644985904112207,9.232762218337385,9.578270193344423,0.4853644834105947,1.2447925825237636,1307.258056640625,117.13685607910156,1331.5103759765625,700.9356079101562,387.14373779296875,2251.465087890625,370.5782775878906,1628.8428955078125,1779.7506103515625,689.4072875976562,1433.5159912109375,479.7658386230469,812.1207885742188,810.6808471679688,513.5401000976562,1101.612060546875,142.2875518798828,1368.40966796875,1137.6639404296875,560.4083251953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.019607843831181526,170.9910888671875,-32.44873046875,-17.225431442260742,170.4454345703125,-32.21095275878906,-16.67579460144043,170.5909423828125,-32.486053466796875,-16.096786499023438,170.5909423828125,-32.486053466796875,-16.096786499023438,172.4984130859375,-35.48788833618164,-17.27057456970215,172.4649658203125,-36.654117584228516,-19.69598388671875,172.4649658203125,-36.654117584228516,-19.69598388671875,171.87530517578125,-36.698081970214844,-20.321361541748047,171.4801025390625,-33.49666976928711,-18.0469913482666,170.9910888671875,-32.44873046875,-17.225431442260742,10.612752323435872,2.370112200639648,-1.0,0.008015734265734266,3.000000089406967,0.0,15.72,0
L-1:7,2.439022981137828,10.308048522676328,16.12756292992706,12.67181596320899,10.142709722052397,4.284340788569781,2.044196322638505,4.611190394142349,7.487443856779813,1.0422794990897168,1035.973876953125,11.990818977355957,1879.121826171875,388.9189147949219,30.18890953063965,1321.29052734375,423.3077087402344,1405.8641357421875,1249.846923828125,564.1939697265625,1221.7174072265625,114.29900360107422,1406.5814208984375,580.663818359375,390.152099609375,1030.48046875,516.1248168945312,2020.9395751953125,1004.7564697265625,658.9363403320312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.027450982481241226,0.02352941408753395,0.01568627543747425,170.083251953125,-35.47114181518555,-20.451847076416016,169.93701171875,-35.02853775024414,-19.890974044799805,169.7093505859375,-35.99186706542969,-19.539920806884766,169.7093505859375,-35.99186706542969,-19.539920806884766,170.827880859375,-39.35121154785156,-21.132461547851562,170.30096435546875,-41.42517852783203,-23.779783248901367,169.93145751953125,-42.13840866088867,-25.476648330688477,171.62384033203125,-37.011104583740234,-21.537277221679688,170.6668701171875,-36.354610443115234,-20.971797943115234,170.083251953125,-35.47114181518555,-20.451847076416016,15.424988861090172,8.663019750885132,-1.0,0.008599809281627463,2.3333334028720856,0.0,15.46,0
L-1:8,15.803130913911254,22.773779545601233,14.648204478024672,1.7862918509184178,3.0708770896465123,1.7629245664789255,3.0827345605194543,17.033428051387848,17.72623048333231,14.307592167006593,2129.938232421875,318.0850524902344,1439.534912109375,602.0214233398438,22.23794174194336,1786.9912109375,702.5433349609375,1497.1556396484375,665.0272827148438,956.5147094726562,1158.658935546875,10.575357437133789,874.6200561523438,253.32554626464844,743.994140625,926.0104370117188,1133.349609375,2250.964111328125,1083.609619140625,1189.74560546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.01568627543747425,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.01568627543747425,169.51202392578125,-36.953208923339844,-15.052886962890625,169.51202392578125,-36.953208923339844,-15.052886962890625,172.11566162109375,-36.64419174194336,-15.186506271362305,172.11566162109375,-36.64419174194336,-15.186506271362305,173.9134521484375,-37.65324401855469,-15.686711311340332,169.159423828125,-42.07841491699219,-20.24728012084961,168.91943359375,-42.06108474731445,-21.028898239135742,168.28363037109375,-41.50137710571289,-20.63918113708496,168.28363037109375,-41.50137710571289,-20.63918113708496,167.1446533203125,-40.249141693115234,-18.321308135986328,7.767065360351933,4.010011578641605,1.0,0.008278120184899845,9.000000268220901,3.61,15.35,0
L-1:9,0.6743440856343071,1.7027236427859274,15.225073317603899,2.0475493913246927,4.546444168816394,0.675051725547311,6.6761096880700395,0.7883760106048581,5.0886128583417065,0.8479992017059665,2033.5223388671875,20.97830581665039,210.52133178710938,99.44680786132812,300.07470703125,898.2562255859375,131.1706085205078,777.4351196289062,1734.873291015625,839.0162963867188,1294.509521484375,6.947081565856934,872.9774169921875,376.9512939453125,251.40855407714844,818.529541015625,1051.9111328125,2488.9921875,1816.8602294921875,1107.671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.02352941408753395,173.31488037109375,-33.22402572631836,-14.22176742553711,173.8419189453125,-32.661869049072266,-13.617276191711426,171.7987060546875,-33.44444274902344,-13.377006530761719,171.9639892578125,-33.59634017944336,-13.869463920593262,173.56396484375,-33.37873077392578,-15.041470527648926,173.56396484375,-33.37873077392578,-15.041470527648926,173.36376953125,-34.16423034667969,-15.9221830368042,173.09796142578125,-34.647769927978516,-15.987724304199219,173.09796142578125,-34.647769927978516,-15.987724304199219,173.31488037109375,-33.22402572631836,-14.22176742553711,16.00477194099325,6.870390995231889,1.0,0.010692234848484848,1.0000000298023224,0.0,16.13,0
L-1:10,14.717929699302063,3.679932270406943,2.029491917152023,1.8049646806902537,2.4441974347039053,2.5139420881502326,7.57512949320326,2.1075193960226817,5.490465316515575,8.218514283064462,2080.809814453125,106.81636047363281,1899.774169921875,2090.60693359375,389.371826171875,2181.181640625,316.47723388671875,1387.972900390625,1021.1954956054688,767.9481201171875,884.5270385742188,1.9562404155731201,1256.4862060546875,564.5198364257812,38.330474853515625,1183.8883056640625,390.3464660644531,1348.3948974609375,1004.4456787109375,1035.9713134765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.019607843831181526,171.488037109375,-34.11149978637695,-15.175080299377441,171.488037109375,-34.11149978637695,-15.175080299377441,170.9288330078125,-34.582496643066406,-14.6243257522583,171.69989013671875,-36.25544738769531,-14.856289863586426,171.69989013671875,-36.25544738769531,-14.856289863586426,172.356689453125,-37.726261138916016,-16.370025634765625,172.2542724609375,-36.394386291503906,-15.91400146484375,171.75665283203125,-37.166202545166016,-16.765338897705078,171.612060546875,-35.23907470703125,-15.844807624816895,171.612060546875,-35.23907470703125,-15.844807624816895,22.083968741560376,8.53397741197112,-1.0,0.009521072796934866,1.0000000298023224,0.0,15.62,0
L-1:11,6.247704253722727,1.989143305745935,0.8908082525576728,2.975133372282359,12.109895122909242,3.1789802506361844,4.356744948353519,6.940363846420691,12.5946367300798,14.029077033936982,1954.1890869140625,496.9909362792969,962.2415161132812,764.6130981445312,477.4544677734375,1282.39453125,222.16818237304688,974.3508911132812,2403.646728515625,1867.552001953125,961.843994140625,320.81549072265625,1945.282470703125,1490.7088623046875,974.5888061523438,2343.008056640625,649.6613159179688,2709.2744140625,2725.26953125,1338.14111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.01568627543747425,0.021568628028035164,0.027450982481241226,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.01568627543747425,173.385009765625,-33.859161376953125,-17.95050048828125,173.2947998046875,-33.26129150390625,-15.175981521606445,174.305419921875,-33.790653228759766,-14.799174308776855,174.44879150390625,-34.50673294067383,-14.800457954406738,173.77227783203125,-35.65195083618164,-20.153743743896484,173.77227783203125,-35.65195083618164,-20.153743743896484,174.3660888671875,-35.16727828979492,-20.564685821533203,174.3660888671875,-35.16727828979492,-20.564685821533203,173.385009765625,-33.859161376953125,-17.95050048828125,173.385009765625,-33.859161376953125,-17.95050048828125,10.225319401737352,6.368973432024359,1.0,0.008215648854961831,1.3333333730697632,0.0,13.53,0
