Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7254216180085233,4.43862156759385,2.8718958943584987,3.041713011470995,0.8841355002218754,0.34111589987181357,0.8651260352652227,0.7659994157205338,6.490151004092805,5.369876648284465,869.85302734375,277.0128479003906,673.5227661132813,664.6705322265625,417.3382568359375,946.7147827148438,296.6466064453125,942.9503173828125,484.4644470214844,323.70501708984375,632.4113159179688,171.68309020996094,1007.4620971679688,694.0795288085938,15.816954612731934,465.0973205566406,42.33888244628906,694.3121337890625,604.4680786132813,413.44195556640625,0.4215925633907318,0.531020998954773,0.5617977380752563,0.6389839053153992,0.666829526424408,0.686370313167572,0.6780654788017273,0.7073766589164734,0.7137274146080017,0.7616023421287537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5525894165039,-62.62007522583008,13.265068054199219,65.12782287597656,-62.26964569091797,13.775087356567383,65.08546447753906,-62.2858772277832,13.762784004211426,65.20702362060547,-62.34140396118164,13.613192558288574,66.2236328125,-64.39493560791016,11.536574363708496,65.4375991821289,-65.73223876953125,10.283228874206543,64.68357849121094,-67.45726776123047,8.526655197143555,64.05897521972656,-67.28019714355469,8.702401161193848,62.97425079345703,-66.51386260986328,9.679901123046875,62.12066650390625,-66.19084930419922,10.138476371765137,1.0166655337345158,2.135895725521329,-1.0,0.014890521064301552,0.5,0.0,30.7,64
L-1:2,4.718673714319538,8.969870492550143,2.617054105110598,6.781693531107454,0.8016072106994985,0.8697308942919079,0.5791489329002426,7.327793352030269,1.4440613841830496,10.551542103720957,802.6075439453125,57.961830139160156,737.3373413085938,848.0944213867188,565.2639770507813,864.669921875,0.0,0.0,426.84112548828125,632.8614501953125,686.766845703125,255.17201232910156,568.3262329101563,379.29815673828125,483.651123046875,874.332763671875,474.538330078125,780.7952270507813,511.45245361328125,462.8085021972656,0.7948216795921326,0.8089887499809265,0.7962872385978699,0.3492916524410248,0.5872007608413696,0.6516854166984558,0.6805080771446228,0.696140706539154,0.7020029425621033,0.7572056651115417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.501991271972656,-66.0840072631836,11.265900611877441,57.5968132019043,-65.58697509765625,12.151839256286621,57.670074462890625,-65.62985229492188,12.158194541931152,66.15771484375,-63.218238830566406,12.525761604309082,65.03825378417969,-64.93975830078125,10.970507621765137,63.20820999145508,-68.96078491210938,8.181325912475586,61.46813201904297,-69.8363265991211,7.28889274597168,60.5002326965332,-70.19280242919922,6.984555721282959,60.09128952026367,-69.6441650390625,7.3338541984558105,57.691287994384766,-67.27547454833984,9.966425895690918,3.5308138106985814,6.595472177176692,-1.0,0.013674957118353346,3.25,0.0,31.89,100
L-1:3,3.9468878864229358,0.6965112531271915,5.674973657992011,6.666897408470466,3.1126388033967807,5.174741917050572,4.4093552606826485,3.453832722221406,1.5955794588028231,2.311932005121174,717.0069580078125,61.48028564453125,656.6431884765625,555.76318359375,383.064208984375,961.4017944335938,427.8138122558594,739.386474609375,580.5151977539063,593.243896484375,731.0540161132813,74.11833190917969,541.2811279296875,488.5532531738281,281.0807800292969,668.2548217773438,297.6485290527344,755.9165649414063,571.3388061523438,194.1651611328125,0.8187591433525085,0.9941377639770508,0.4157303273677826,0.5676599740982056,0.6692721247673035,0.7576941847801208,0.7503663897514343,0.7640449404716492,0.7889594435691833,0.8319491744041443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.28333282470703,-64.42521667480469,12.791332244873047,56.875274658203125,-64.16574096679688,13.165243148803711,64.73541259765625,-61.488136291503906,14.443888664245605,64.9344482421875,-61.54690933227539,14.286301612854004,63.053123474121094,-64.3842544555664,11.571819305419922,61.48939895629883,-65.14656829833984,10.814050674438477,61.114566802978516,-66.21571350097656,9.858080863952637,60.100528717041016,-66.04376983642578,9.965330123901367,59.598140716552734,-65.7643814086914,10.396881103515625,57.12781524658203,-64.77978515625,12.08117389678955,0.5458636341021627,2.689741293092562,-1.0,0.015309683234612412,2.5,0.0,33.97,64
L-1:4,13.808289809841016,12.540353915971217,15.135703824756188,21.974792908670814,20.90630795861261,12.489446360902459,5.815207448073493,1.552986025348424,7.268737917955278,1.884261722234801,1599.48291015625,96.69603729248047,1364.59423828125,1054.521240234375,688.9435424804688,1323.701171875,585.7111206054688,1769.1063232421875,1680.2030029296875,736.7574462890625,1501.6541748046875,103.44140625,1317.135498046875,1132.742919921875,210.89537048339844,828.6945190429688,271.87823486328125,1458.2569580078125,786.5421142578125,904.9114990234375,0.739130437374115,0.6609672904014587,0.6213971376419067,0.5373717546463013,0.507083535194397,0.4767953157424927,0.4484611749649048,0.8075231909751892,0.7987298369407654,0.777723491191864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41485595703125,-61.00502395629883,15.207841873168945,56.194129943847656,-61.13792419433594,15.093289375305176,56.13486099243164,-62.00635528564453,14.400989532470703,57.99030685424805,-63.3790283203125,12.795182228088379,60.37163162231445,-64.7737808227539,10.961426734924316,61.93734359741211,-65.46128845214844,9.796930313110352,62.41984939575195,-65.73634338378906,9.472060203552246,65.1846923828125,-65.2746810913086,10.591955184936523,64.21487426757813,-64.17025756835938,11.774534225463867,60.361263275146484,-61.39995193481445,14.718717575073242,0.2694884736051953,6.452553873663823,1.0,0.007685905103668262,8.0,4.22,22.03,64
L-1:5,0.6770593432805734,5.677558367634238,3.0270648039502617,4.912418369972367,7.242634413968206,0.7350058770525119,1.0600014676626648,2.575025212793029,5.231678660590754,10.522625344628658,960.2614135742188,217.43655395507813,746.4754028320313,431.69000244140625,55.06085968017578,567.5611572265625,600.1561889648438,853.7491455078125,536.239501953125,302.4582824707031,488.0783386230469,124.24942016601563,1058.66015625,958.2026977539063,345.51031494140625,843.13330078125,276.78717041015625,906.2928466796875,601.7383422851563,507.9681396484375,0.7347337603569031,0.758671224117279,0.6306790709495544,0.6233512163162231,0.5886663198471069,0.5329750776290894,0.4499267339706421,0.7943331599235535,0.8021494746208191,0.7782120108604431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.12673950195313,-60.400455474853516,15.615877151489258,64.37942504882813,-60.17411804199219,15.768827438354492,63.479103088378906,-60.67253112792969,15.227635383605957,63.47010803222656,-61.724090576171875,13.913951873779297,65.53580474853516,-62.89183044433594,12.255083084106445,66.90129089355469,-63.40736389160156,11.337469100952148,67.35546875,-63.46226501464844,11.040178298950195,63.72639465332031,-65.45183563232422,10.2158784866333,65.81888580322266,-62.81496810913086,13.269597053527832,65.48429107666016,-61.6341667175293,14.574145317077637,4.015021836934981,4.575997696340018,1.0,0.013145521554612466,2.0,0.0,33.63,64
L-1:6,7.0176356374071736,6.453504391123096,9.900612085574277,7.135304807654271,5.193419424979805,4.808331777302782,1.4626578893221367,9.314615734249644,0.8773647312714958,6.608444392821391,1014.8335571289063,95.02626037597656,893.5314331054688,509.21484375,317.0732727050781,775.6781616210938,181.81597900390625,747.83251953125,802.5425415039063,310.3816223144531,550.712646484375,105.53754425048828,858.0953979492188,443.7540588378906,679.324951171875,1230.9388427734375,568.2503051757813,1214.0782470703125,961.2865600585938,995.6302490234375,0.633610188961029,0.5749877691268921,0.5144113302230835,0.49389350414276123,0.5163654088973999,0.47288715839385986,0.7562286257743835,0.7532975077629089,0.7484123110771179,0.7332682013511658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01854705810547,-61.06258773803711,14.799403190612793,56.15332794189453,-61.12993240356445,14.807197570800781,55.61628341674805,-61.84545135498047,14.069404602050781,55.88040542602539,-62.71387481689453,13.321219444274902,57.972679138183594,-63.630191802978516,11.835740089416504,59.15662384033203,-64.32334899902344,11.071486473083496,63.20109939575195,-65.54573059082031,10.216150283813477,62.64533615112305,-64.115966796875,11.649796485900879,60.8921012878418,-62.590843200683594,13.080740928649902,60.8921012878418,-62.590843200683594,13.080740928649902,1.691731399939558,7.852274660538385,1.0,0.01255860901276374,4.5,0.0,27.55,108
L-1:7,1.812422341705516,3.6207042416897317,0.15808579742893086,4.372263423049646,3.967719640974013,7.350150513821631,2.2166434548673792,4.75348972006351,8.292918658113758,1.1019833511251556,857.5137939453125,240.19969177246094,1026.54248046875,803.0984497070313,34.323272705078125,0.5593222975730896,217.78079223632813,1076.5675048828125,633.2793579101563,366.757080078125,954.2128295898438,118.46392059326172,674.1644287109375,753.831787109375,99.50328826904297,856.9962158203125,298.28485107421875,1136.59326171875,603.5016479492188,833.74560546875,0.6922325491905212,0.6976062655448914,0.34342941641807556,0.5007327795028687,0.5749877691268921,0.6155349016189575,0.6463117003440857,0.6482657790184021,0.6580361723899841,0.6966292262077332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5467529296875,-66.12895965576172,10.407315254211426,56.34013366699219,-64.77635955810547,11.941232681274414,61.58792495727539,-63.39009094238281,12.44693660736084,61.60579299926758,-63.405208587646484,12.345573425292969,61.75132369995117,-66.05866241455078,10.037787437438965,61.27545928955078,-67.11531829833984,9.175389289855957,60.05104446411133,-68.27935791015625,8.087690353393555,59.273494720458984,-68.38542938232422,8.00094223022461,58.095252990722656,-67.72277069091797,8.712620735168457,57.032997131347656,-67.19061279296875,9.392950057983398,0.5015079921742117,5.531941242112309,-1.0,0.012783362470862472,3.5,0.0,25.07,68
L-1:8,8.881856241984172,7.809151080725358,15.142814629691838,1.5667092555765225,1.547131090541423,8.89143644381985,14.895713676473301,2.1814551947872967,2.5779028778668853,11.173897202754857,1387.5001220703125,214.74737548828125,1906.6737060546875,1052.09326171875,114.75545501708984,1510.6553955078125,553.3236083984375,931.5960083007813,1304.7103271484375,952.1729125976563,2096.062255859375,187.19943237304688,1387.964111328125,1528.8544921875,317.3509826660156,2142.853515625,466.91937255859375,1901.1263427734375,1033.76708984375,1209.4859619140625,0.7107962965965271,0.63312166929245,0.5847581624984741,0.6888129115104675,0.5412799119949341,0.5857352018356323,0.5920859575271606,0.5925744771957397,0.6326331496238708,0.6448461413383484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.32565689086914,-63.09174728393555,12.891834259033203,57.519989013671875,-62.4322395324707,14.070023536682129,57.2408447265625,-62.07373046875,14.868939399719238,58.205631256103516,-62.28128433227539,14.896927833557129,63.32741928100586,-63.6337776184082,12.098053932189941,63.32741928100586,-63.6337776184082,12.098053932189941,63.44303894042969,-65.38017272949219,10.644876480102539,65.16694641113281,-66.76879119873047,8.75001335144043,62.55303955078125,-65.99181365966797,9.522109985351563,60.36846923828125,-64.6073989868164,11.13789176940918,0.7973413627915077,9.418454688985145,-1.0,0.006980450693374422,4.5,3.63,20.71,100
L-1:9,5.422135109890579,7.889911540318332,0.1768415157690744,0.8978321350266918,1.6646372036105799,3.7392111765948823,1.017416141864417,0.28304751647025983,1.7981006604656529,5.216965462194146,1045.4620361328125,87.24100494384766,838.0115966796875,385.8541259765625,133.5356903076172,705.5341796875,334.265380859375,1106.384521484375,526.6394653320313,819.1688842773438,1036.69921875,323.3825378417969,572.9121704101563,124.10923767089844,329.5459289550781,817.272705078125,103.29420471191406,213.93948364257813,612.898193359375,566.2980346679688,0.6140693426132202,0.5779188871383667,0.52173912525177,0.49389350414276123,0.49780166149139404,0.47532975673675537,0.39716657996177673,0.39765509963035583,0.7020029425621033,0.6682950854301453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.78996658325195,-62.23428726196289,13.700787544250488,56.817420959472656,-62.227073669433594,13.679755210876465,56.93882751464844,-62.938228607177734,13.105364799499512,58.461814880371094,-65.17549133300781,10.949164390563965,59.07746124267578,-65.6720199584961,10.274229049682617,59.59192657470703,-65.91656494140625,9.885510444641113,61.656898498535156,-66.56951141357422,9.3019380569458,62.124881744384766,-65.25011444091797,10.18997573852539,64.63817596435547,-64.4861831665039,10.822606086730957,62.672210693359375,-63.05828857421875,12.526934623718262,1.141721917589258,6.86708025236293,1.0,0.011895842850616721,0.5,0.0,29.76,44
L-1:10,4.87784950306908,3.746705876621264,4.1552258770422155,8.292400618698077,1.4768464061441606,4.22028973661472,4.181090636115401,10.32972502394787,2.404010074531285,1.935118296110633,865.3892211914063,39.156959533691406,904.8348388671875,347.5181884765625,268.96978759765625,821.2791748046875,37.31751251220703,606.7083129882813,534.2736206054688,322.9449462890625,717.7140502929688,378.19964599609375,777.4898071289063,532.7891845703125,200.0141143798828,825.6516723632813,544.9437866210938,1101.521484375,495.507080078125,305.1783447265625,0.8651685118675232,0.8793356418609619,0.5417684316635132,0.60332190990448,0.6907669901847839,0.7318026423454285,0.7274059653282166,0.7303370833396912,0.7313141226768494,0.7493893504142761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.42869567871094,-61.73407745361328,12.492752075195313,63.080623626708984,-61.09446334838867,13.999948501586914,64.79387664794922,-62.33604431152344,12.147382736206055,64.98388671875,-62.545654296875,11.949443817138672,65.43810272216797,-62.75491714477539,11.429399490356445,65.84722137451172,-63.03157424926758,10.93971061706543,66.16597747802734,-64.05084228515625,10.025115966796875,66.02645874023438,-64.05184173583984,9.916876792907715,65.32225799560547,-63.89360046386719,10.082765579223633,62.752098083496094,-62.47114944458008,11.760891914367676,1.402898120020456,1.9322011189462382,-1.0,0.014801136363636365,0.75,0.0,31.26,0
