Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7881275743866535,2.8187493883398185,4.234637584434644,1.1526690586351829,1.3998095349074493,0.7289879206634777,1.1626143795819028,1.517965910991952,1.4721137322364948,1.2076666168733308,972.8440551757812,213.22274780273438,737.5680541992188,674.4056396484375,426.0957336425781,965.9935913085938,123.52631378173828,959.03271484375,770.15625,701.8555297851562,780.8583984375,38.30413055419922,881.8574829101562,665.02880859375,362.14349365234375,810.429931640625,348.1387023925781,848.6133422851562,659.3465576171875,502.6047668457031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,62.693939208984375,-49.30614471435547,2.926825523376465,62.87750244140625,-49.31907272338867,3.048858880996704,62.92730712890625,-49.39041519165039,3.0562751293182373,62.92730712890625,-49.39041519165039,3.0562751293182373,63.64678955078125,-49.691837310791016,3.102139711380005,64.0218505859375,-49.78658676147461,2.965477705001831,64.51907348632812,-49.333194732666016,2.959735631942749,63.659637451171875,-49.489688873291016,2.8864123821258545,63.2603759765625,-49.453636169433594,2.888603925704956,62.6829833984375,-49.46930694580078,2.894022226333618,11.04293737522658,3.562313536930479,-1.0,0.012554477357848145,1.0000000298023224,0.0,21.07,100
L-1:2,5.3246295156114085,2.753349581188973,11.720826365768833,0.5938010416378929,3.686559282732071,4.163891258990605,3.1524937867798988,1.1016268199577406,3.658359432470958,8.448705950917375,1339.9638671875,98.78368377685547,591.3086547851562,807.4337768554688,322.64501953125,692.733642578125,420.8175964355469,1336.8697509765625,908.4419555664062,527.9039306640625,1156.471435546875,51.603755950927734,749.8547973632812,681.366455078125,269.6257629394531,933.5313720703125,87.6502914428711,764.4072265625,697.4212036132812,641.0260009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,63.398284912109375,-47.32502365112305,3.930509090423584,63.398284912109375,-47.32502365112305,3.930509090423584,62.933349609375,-47.533504486083984,4.115833282470703,63.39581298828125,-48.9336051940918,3.542278528213501,63.696746826171875,-49.09431457519531,3.326601505279541,62.953277587890625,-48.95953369140625,3.423312187194824,62.953277587890625,-48.95953369140625,3.423312187194824,63.2379150390625,-48.70252990722656,3.6060664653778076,63.414459228515625,-48.57120895385742,3.610884666442871,62.844512939453125,-47.5703010559082,3.735985279083252,0.43811961399058763,1.9696993701810988,-1.0,0.011620085995085995,1.0000000298023224,0.0,21.62,100
L-1:3,6.274286530870541,2.1001668922614996,4.204029566744771,8.687526860749088,4.319872704324296,3.929196824425689,6.3061222484502615,3.4447806437857964,7.76571458208521,6.532181093981272,741.322998046875,238.49253845214844,1300.123046875,980.1158447265625,82.00438690185547,1091.0634765625,425.3450012207031,1581.315185546875,978.6507568359375,777.60498046875,1672.2587890625,164.6863250732422,1147.00341796875,748.8250122070312,106.35399627685547,1345.041259765625,347.1588134765625,1261.9613037109375,516.1776733398438,838.0379638671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,63.4571533203125,-47.39581298828125,4.074896812438965,64.227294921875,-47.45986557006836,4.558917999267578,64.59967041015625,-47.676151275634766,4.485401153564453,64.59967041015625,-47.676151275634766,4.485401153564453,64.46942138671875,-47.762550354003906,4.262589931488037,64.10101318359375,-47.915077209472656,4.057702541351318,63.43743896484375,-47.97640609741211,3.831059217453003,62.958709716796875,-47.87871551513672,3.8000941276550293,62.958709716796875,-47.87871551513672,3.8000941276550293,62.236480712890625,-47.73563766479492,3.7657008171081543,3.1533096364124344,13.915661028737025,-1.0,0.01091194072385295,3.333333432674408,0.0,21.88,36
L-1:4,6.959309334313994,5.81651846240292,2.6988764175016184,12.237340669514905,19.168959491004184,22.65866014964824,19.840190009231684,17.19129911964821,2.9108912752543987,1.8269773674346865,1173.77197265625,100.885986328125,1227.950439453125,572.76416015625,645.162841796875,1171.4202880859375,272.5713195800781,1256.6529541015625,1242.0657958984375,1196.1624755859375,1640.954345703125,129.88043212890625,901.6143188476562,742.5552368164062,347.2369079589844,923.8963012695312,635.88330078125,646.5044555664062,504.9501037597656,392.4172058105469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,61.3155517578125,-47.7509765625,4.71805477142334,61.657440185546875,-47.744022369384766,4.818286418914795,61.657440185546875,-47.744022369384766,4.818286418914795,62.157562255859375,-47.8046760559082,4.809661865234375,62.20806884765625,-47.982059478759766,4.844002723693848,62.20806884765625,-47.982059478759766,4.844002723693848,61.984619140625,-47.8360710144043,4.959157466888428,61.94134521484375,-47.767940521240234,4.917290687561035,61.89886474609375,-47.64537811279297,4.955155372619629,61.91741943359375,-47.8276481628418,4.622216701507568,5.85346627054198,11.895733428313436,-1.0,0.010948191593352884,4.666666805744171,5.11,19.2,4
L-1:5,2.2288709496508505,3.7605803011833796,2.183391878252328,1.772328485054654,5.7268586746194785,5.592462483539619,2.396824806306844,3.4698081666033533,5.300316954626699,2.6898509537856716,1480.9376220703125,32.5804443359375,1132.805908203125,583.111328125,300.69281005859375,497.4908447265625,593.9017944335938,1115.744384765625,1306.8995361328125,750.539306640625,1547.093505859375,147.72662353515625,1601.71728515625,930.5595092773438,386.3605651855469,1575.372802734375,536.3267822265625,1498.8988037109375,1822.5445556640625,987.4901733398438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,61.474151611328125,-47.943336486816406,5.504441261291504,60.560577392578125,-47.926414489746094,5.476840496063232,62.17071533203125,-47.86601257324219,5.584378719329834,62.189483642578125,-47.7993049621582,5.617176532745361,61.506072998046875,-48.102210998535156,5.594082832336426,61.506072998046875,-48.102210998535156,5.594082832336426,61.28570556640625,-47.970916748046875,5.541215419769287,61.28570556640625,-47.970916748046875,5.541215419769287,61.474151611328125,-47.943336486816406,5.504441261291504,61.474151611328125,-47.943336486816406,5.504441261291504,4.3025886591473546,4.841367266409779,-1.0,0.008522255752546209,1.3333333730697632,0.0,12.91,36
L-1:6,4.504776614337598,1.5381905124351407,1.1204392479505603,11.500308794251053,6.167149151487562,1.2186736965107754,1.3516128230549556,2.1102631613291556,5.3109478839435935,3.0081036485028827,1423.188232421875,115.5488052368164,1258.5008544921875,655.9698486328125,40.057044982910156,1151.4210205078125,654.9253540039062,1112.6591796875,517.18359375,558.5260009765625,529.0313110351562,92.37003326416016,2501.98583984375,1128.82421875,464.900146484375,1458.9344482421875,748.3990478515625,911.8357543945312,687.7446899414062,653.7176513671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,61.042938232421875,-47.70732498168945,5.85011625289917,61.65606689453125,-47.69988250732422,5.8608269691467285,61.76220703125,-47.66004943847656,5.891172409057617,61.76220703125,-47.66004943847656,5.891172409057617,61.79534912109375,-47.9064826965332,5.9587531089782715,60.72381591796875,-47.898101806640625,5.797255516052246,61.359527587890625,-47.97468566894531,5.832225799560547,61.03045654296875,-47.825294494628906,5.906792163848877,61.03045654296875,-47.825294494628906,5.906792163848877,61.042938232421875,-47.70732498168945,5.85011625289917,7.026568173359125,3.188517887927426,-1.0,0.009676934635612321,2.6666667461395264,0.0,14.72,0
L-1:7,1.6184546697805366,0.5570353963713262,3.748443397139926,9.79461903762897,6.769374076208985,6.907113420385753,2.3666158346821304,3.206921855110978,2.526098497938279,4.408506132315594,940.1267700195312,202.82846069335938,837.4638671875,689.171630859375,500.98345947265625,1288.8153076171875,337.2074279785156,1337.191162109375,1227.0184326171875,1028.2435302734375,2115.49755859375,15.733467102050781,1394.669189453125,843.2511596679688,448.5908508300781,1765.303466796875,732.7799072265625,1598.7930908203125,1142.059326171875,540.1649169921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,61.24847412109375,-47.67164993286133,6.557272911071777,61.604034423828125,-47.728755950927734,6.6813764572143555,63.1943359375,-47.853851318359375,6.116506099700928,62.871124267578125,-48.10483932495117,6.108696937561035,62.854034423828125,-48.18674850463867,5.94765567779541,62.854034423828125,-48.18674850463867,5.94765567779541,62.58404541015625,-48.13018798828125,6.108819007873535,62.58404541015625,-48.13018798828125,6.108819007873535,62.082489013671875,-48.023399353027344,6.337114334106445,61.287353515625,-47.78959274291992,6.465983867645264,12.202411850594359,11.90439091610432,-1.0,0.009098973607038123,4.666666805744171,0.0,17.73,0
L-1:8,9.493550340349637,9.983688281731268,8.597416016242953,8.797281476914382,9.82575132555362,3.1782535533560443,4.861355076252122,10.930240768548806,4.578503424785243,5.555344495849509,1640.5218505859375,72.88192749023438,1346.6212158203125,1000.1563720703125,280.4188537597656,951.1964111328125,535.0303344726562,1448.635009765625,1338.1259765625,1049.484619140625,1633.767822265625,200.26632690429688,1188.5205078125,814.7539672851562,324.25457763671875,784.2171630859375,223.66273498535156,287.20648193359375,1208.6142578125,720.1104736328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03529411926865578,61.86114501953125,-47.75405502319336,6.573906421661377,61.86114501953125,-47.75405502319336,6.573906421661377,61.99951171875,-47.5582275390625,6.53481912612915,62.561737060546875,-47.62061309814453,6.494862079620361,62.561737060546875,-47.62061309814453,6.494862079620361,62.911865234375,-47.93910598754883,6.476861953735352,62.90789794921875,-47.8768424987793,6.54493522644043,62.842041015625,-47.960384368896484,6.480175018310547,63.005340576171875,-47.734317779541016,6.575304985046387,62.172393798828125,-47.69438552856445,6.522471904754639,8.552103016345583,14.193539828693673,-1.0,0.01008999389871873,6.000000178813934,3.99,18.9,0
L-1:9,7.194510383941973,2.1050545530062306,5.942940215266906,6.898330816367516,2.623072646302007,2.534618247869169,4.41570631248251,8.189858261518856,9.190784059178627,3.264224253123696,1397.4273681640625,78.25093841552734,1245.8760986328125,1192.8553466796875,451.69677734375,1718.138916015625,448.306884765625,1405.8218994140625,912.061767578125,1229.369873046875,1103.65087890625,188.46279907226562,691.0435180664062,1003.4954223632812,502.6299743652344,1331.9681396484375,275.3736572265625,1079.2850341796875,798.3682250976562,695.6373291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,61.94732666015625,-48.1094856262207,6.294267654418945,61.94732666015625,-48.1094856262207,6.294267654418945,62.0604248046875,-48.22987365722656,6.368586540222168,62.0604248046875,-48.22987365722656,6.368586540222168,62.8492431640625,-48.460628509521484,6.457676887512207,62.8028564453125,-49.22215270996094,6.34084415435791,62.898345947265625,-48.756378173828125,6.304344177246094,62.898345947265625,-48.756378173828125,6.304344177246094,62.869873046875,-48.45267868041992,6.316953659057617,62.5760498046875,-48.20820999145508,6.245358467102051,15.384031133526971,4.93303735855599,-1.0,0.008685661764705883,1.666666716337204,0.0,14.85,0
L-1:10,4.657246985157187,4.401587589655836,6.319959097829545,6.4259103777555655,6.351704508470017,4.990337933380083,5.979353272897709,1.4903124882055687,2.3271604487346313,7.758132348355875,1547.830810546875,17.736377716064453,1084.244873046875,395.3434753417969,234.49366760253906,1356.458251953125,301.63720703125,1540.3621826171875,1435.3951416015625,973.77978515625,2052.69189453125,97.32913970947266,1426.56640625,1025.903564453125,261.4450378417969,1567.5589599609375,211.830322265625,1275.7669677734375,722.6641845703125,700.5447387695312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,63.3980712890625,-48.48091506958008,6.717742443084717,63.566680908203125,-48.17538070678711,6.5224289894104,63.8897705078125,-48.21254348754883,6.710478782653809,64.06378173828125,-48.312522888183594,6.898017883300781,64.06378173828125,-48.312522888183594,6.898017883300781,64.13946533203125,-48.571163177490234,7.048244476318359,64.13946533203125,-48.571163177490234,7.048244476318359,63.934783935546875,-48.351200103759766,7.061200141906738,63.5869140625,-48.329734802246094,7.026256084442139,63.5869140625,-48.329734802246094,7.026256084442139,8.041187491967284,15.253323120521879,-1.0,0.008929618768328445,2.0000000596046448,0.0,17.4,0
