Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7071067811865476,9.804209585222525,8.456057889554414,6.90568563747165,19.199628653533306,19.014796869806418,11.695961121598222,9.710276558303596,10.215775414519362,7.555766516584726,674.5253295898438,291.115478515625,2060.934814453125,2046.6180419921875,668.5623168945312,1221.43994140625,646.7584228515625,858.961669921875,1256.036865234375,527.4253540039062,1354.9832763671875,185.91648864746094,845.7091674804688,584.4445190429688,374.76953125,1158.1138916015625,458.053466796875,1511.184814453125,796.033203125,747.7560424804688,0.18431372940540314,0.21176472306251526,0.24313727021217346,0.30588236451148987,0.38823533058166504,0.4117647409439087,0.4274510145187378,0.45098042488098145,0.41960787773132324,0.3294117748737335,0.11674774438142776,0.12300208956003189,0.12717165052890778,0.1334259957075119,0.13968034088611603,0.13968034088611603,0.14593468606472015,0.1480194628238678,0.14593468606472015,0.13551077246665955,285.7392883300781,-61.74886703491211,-1.4147015810012817,286.0528564453125,-61.90467834472656,-1.6949948072433472,284.8592834472656,-61.5704345703125,-1.6737265586853027,281.99053955078125,-62.75090026855469,-1.6516746282577515,281.99053955078125,-62.75090026855469,-1.6516746282577515,278.56982421875,-65.62627410888672,-2.428553581237793,275.27178955078125,-69.09524536132812,-3.4552104473114014,275.005859375,-69.92325592041016,-3.5984957218170166,276.46307373046875,-69.47627258300781,-3.7256672382354736,276.46307373046875,-69.47627258300781,-3.7256672382354736,4.8541219597369,6.151222657130665,-1.0,0.008816907391673746,10.25,0.0,17.79,64
L-1:2,6.128825336065631,5.444202466409919,10.083874456188044,3.7378144131280235,9.576347200997278,17.396120257114802,17.635837653722792,21.664340993833616,16.44820458227185,1.1928833767077789,2151.696533203125,104.64753723144531,1621.6070556640625,458.8996276855469,213.22146606445312,1317.67529296875,676.9412841796875,1488.8719482421875,1245.609375,855.1466064453125,1903.284423828125,281.9805603027344,882.49365234375,531.13818359375,264.86651611328125,1719.6312255859375,103.525634765625,1638.9295654296875,1497.70361328125,1004.42041015625,0.2980392277240753,0.24705883860588074,0.2862745225429535,0.3294117748737335,0.3607843220233917,0.41568630933761597,0.4392157196998596,0.46274513006210327,0.458823561668396,0.38431376218795776,0.12717165052890778,0.12925642728805542,0.13759556412696838,0.1480194628238678,0.15218903124332428,0.13759556412696838,0.15427380800247192,0.15635858476161957,0.14593468606472015,0.13759556412696838,277.28460693359375,-67.89039611816406,-3.6875247955322266,279.6214599609375,-65.64559173583984,-3.5848958492279053,279.3830261230469,-65.09957885742188,-2.7576351165771484,276.06573486328125,-67.85051727294922,-2.8824644088745117,276.06573486328125,-67.85051727294922,-2.8824644088745117,269.7119445800781,-73.79764556884766,-3.789215326309204,267.4645690917969,-76.70567321777344,-3.3906729221343994,267.4645690917969,-76.70567321777344,-3.3906729221343994,268.17730712890625,-76.708251953125,-3.4602723121643066,271.0454406738281,-74.67643737792969,-3.7298903465270996,2.704163456597992,13.99117990165093,-1.0,0.00675061425061425,6.25,0.0,15.7,68
L-1:3,1.25,7.175610458650298,8.972766226479651,1.1029129760411092,2.978787261252693,5.031152949374527,7.22530557211603,7.006958169369814,4.258275600871344,4.5384835359541205,1575.7120361328125,80.20848083496094,2403.15966796875,879.7192993164062,239.96119689941406,1841.0933837890625,530.3442993164062,1494.2991943359375,1546.5018310546875,691.8029174804688,2502.1279296875,190.5557098388672,1122.6446533203125,990.38232421875,499.917724609375,1484.923095703125,635.8121337890625,1879.941162109375,1881.142822265625,1243.9241943359375,0.29019609093666077,0.1882353127002716,0.18431372940540314,0.24313727021217346,0.3137255012989044,0.4078431725502014,0.40000003576278687,0.22352942824363708,0.3686274588108063,0.3529411852359772,0.12925642728805542,0.108408622443676,0.118832528591156,0.1334259957075119,0.13759556412696838,0.14176511764526367,0.14176511764526367,0.13134121894836426,0.13968034088611603,0.13551077246665955,278.3826599121094,-68.09191131591797,-2.641204833984375,278.3826599121094,-68.09191131591797,-2.641204833984375,280.36920166015625,-66.20011901855469,-1.5448379516601562,277.66082763671875,-67.9539794921875,-1.758085012435913,271.67327880859375,-73.39523315429688,-2.7836921215057373,271.67327880859375,-73.39523315429688,-2.7836921215057373,268.45135498046875,-77.45781707763672,-3.201270818710327,269.237060546875,-77.08421325683594,-5.037349700927734,271.7508239746094,-75.87932586669922,-4.763667583465576,271.7508239746094,-75.87932586669922,-4.763667583465576,20.150992531386635,3.714817785355343,-1.0,0.005773274917853231,0.5,0.0,15.06,64
L-1:4,1.4577379737113252,5.839571589477973,13.830071367950891,15.266911787564451,9.28892933270091,13.975424859373685,18.755597713109587,10.573093262762447,6.677896545783082,3.689074998212949,1959.6019287109375,102.89447784423828,1096.13623046875,1471.3934326171875,668.3742065429688,1976.0316162109375,714.371337890625,2064.614013671875,1661.680419921875,1860.373291015625,1888.36376953125,944.4825439453125,1712.9600830078125,1610.4976806640625,421.2564697265625,2550.787841796875,781.37255859375,2556.908203125,1359.8873291015625,138.6744842529297,0.2666666805744171,0.20784315466880798,0.2666666805744171,0.33725491166114807,0.43137258291244507,0.48235297203063965,0.48235297203063965,0.4431372880935669,0.3176470696926117,0.20000001788139343,0.118832528591156,0.12925642728805542,0.14176511764526367,0.14593468606472015,0.15427380800247192,0.15218903124332428,0.1626129299402237,0.14384989440441132,0.12717165052890778,0.08339124917984009,276.2936096191406,-63.918296813964844,-2.468362331390381,277.5922546386719,-62.62506866455078,-1.6912211179733276,275.8389892578125,-62.99797439575195,-2.0338973999023438,275.8389892578125,-62.99797439575195,-2.0338973999023438,268.642578125,-66.65716552734375,-2.7572367191314697,268.642578125,-66.65716552734375,-2.7572367191314697,262.04315185546875,-72.86923217773438,-3.1348090171813965,262.59991455078125,-75.100341796875,-3.319758176803589,262.59991455078125,-75.100341796875,-3.319758176803589,266.8170166015625,-73.7293472290039,-3.765538215637207,6.373774391990981,7.268160796376913,-1.0,0.005320707070707071,1.25,2.83,15.05,36
L-1:5,12.621905561364338,3.7889287085910763,6.428339674329463,2.157340110133523,5.037000990040981,1.5206906325745548,4.330589100274405,3.185737282574629,6.5143842615736975,2.6792575623352577,2377.711669921875,610.6012573242188,906.641845703125,507.0136413574219,650.3682250976562,1639.5435791015625,492.5159912109375,2115.22509765625,2059.67724609375,1202.8275146484375,2447.061767578125,153.79608154296875,1692.615478515625,1408.816650390625,311.2147216796875,1904.7601318359375,1074.287841796875,2219.650390625,1837.8917236328125,949.04833984375,0.29019609093666077,0.22352942824363708,0.21176472306251526,0.21568629145622253,0.27843138575553894,0.33725491166114807,0.3803921937942505,0.4431372880935669,0.44705885648727417,0.40000003576278687,0.12091730535030365,0.12091730535030365,0.12091730535030365,0.12925642728805542,0.14384989440441132,0.13551077246665955,0.14176511764526367,0.15218903124332428,0.14384989440441132,0.13968034088611603,271.5674133300781,-69.97576904296875,-1.8365683555603027,273.5113525390625,-68.3060531616211,-0.9108338356018066,273.5113525390625,-68.3060531616211,-0.9108338356018066,273.6876220703125,-67.93406677246094,-0.39612165093421936,274.35107421875,-67.69596099853516,-0.455465704202652,269.9393310546875,-70.34986114501953,-1.2300833463668823,269.9393310546875,-70.34986114501953,-1.2300833463668823,266.68341064453125,-72.71647644042969,-1.9911736249923706,268.6718444824219,-72.42581939697266,-2.1270132064819336,268.6718444824219,-72.42581939697266,-2.1270132064819336,9.410765112359355,12.63032574152723,-1.0,0.006442973037461226,4.0,0.0,15.43,64
L-1:6,11.236102527122116,10.220890063458528,2.9392822255871383,3.243485847980549,10.905413107736711,11.918997441060217,7.810902234700333,3.7653288418528765,4.802444308849191,8.191063829428046,1427.4561767578125,474.8197326660156,1853.0528564453125,2455.032470703125,374.71246337890625,1606.21728515625,754.7461547851562,1254.0562744140625,979.5687866210938,663.6292724609375,1200.559814453125,8.987889289855957,1121.1298828125,445.2531433105469,339.0368957519531,1416.658935546875,408.63946533203125,1989.5457763671875,1912.5928955078125,558.56396484375,0.24705883860588074,0.18039216101169586,0.18039216101169586,0.2352941334247589,0.3019607961177826,0.32156863808631897,0.3607843220233917,0.3176470696926117,0.40392160415649414,0.3803921937942505,0.118832528591156,0.10632383823394775,0.108408622443676,0.13134121894836426,0.13551077246665955,0.13968034088611603,0.13551077246665955,0.13551077246665955,0.14176511764526367,0.14176511764526367,271.3725891113281,-69.62029266357422,-3.1011102199554443,273.1170654296875,-68.84601593017578,-1.978617548942566,273.11724853515625,-68.52889251708984,-1.430687427520752,271.2497863769531,-69.35633850097656,-1.574570655822754,271.2497863769531,-69.35633850097656,-1.574570655822754,267.4374694824219,-71.39144134521484,-2.64382004737854,265.2840881347656,-73.55244445800781,-3.1678879261016846,267.0615539550781,-72.79927825927734,-3.357863426208496,267.0615539550781,-72.79927825927734,-3.357863426208496,268.58502197265625,-72.2492446899414,-3.175304651260376,13.704470073665746,10.478425667456943,-1.0,0.006602646180110968,3.5,0.0,17.68,64
L-1:7,1.0606601717798212,3.9677254290427175,2.209308842160032,13.100689635045052,5.409854489797556,2.3717082451262845,7.595551669493864,4.345408616491437,1.5773007184606123,1.1961785972251948,1162.38671875,316.41021728515625,1255.16748046875,1453.6405029296875,808.414794921875,1069.9759521484375,347.0158386230469,1591.01953125,2066.423583984375,1315.3038330078125,1895.15380859375,61.093910217285156,747.71875,347.3817443847656,593.461669921875,2226.56103515625,980.8635864257812,1408.8465576171875,1394.703369140625,1126.983642578125,0.20784315466880798,0.18039216101169586,0.18039216101169586,0.19607844948768616,0.3294117748737335,0.3607843220233917,0.41568630933761597,0.4549019932746887,0.3921568989753723,0.2666666805744171,0.11049339920282364,0.10423906147480011,0.108408622443676,0.12091730535030365,0.1334259957075119,0.14176511764526367,0.1584433764219284,0.14593468606472015,0.14384989440441132,0.12717165052890778,264.3576354980469,-79.22943878173828,-3.6418137550354004,267.30078125,-76.6919174194336,-3.363929033279419,267.30078125,-76.6919174194336,-3.363929033279419,268.1849365234375,-74.6354751586914,-2.951629400253296,267.07989501953125,-74.33641052246094,-2.8867063522338867,261.2784729003906,-78.5214614868164,-3.600071668624878,261.2784729003906,-78.5214614868164,-3.600071668624878,258.7689208984375,-81.66995239257812,-3.5086476802825928,260.55670166015625,-81.59954833984375,-3.8357346057891846,260.55670166015625,-81.59954833984375,-3.8357346057891846,20.59732992404598,11.09445770089058,-1.0,0.006968004062976129,4.0,0.0,15.68,68
L-1:8,7.3824115301167,15.156345853734349,14.05281514229784,3.6316506035206784,15.518919656967846,5.88430114796991,4.562215720446088,5.603795311481355,5.7310476999070925,2.971041720160119,1470.9599609375,654.9297485351562,1547.302978515625,1138.4132080078125,835.2202758789062,1874.3685302734375,16.61760139465332,2694.88916015625,1098.1710205078125,634.777099609375,1679.012939453125,310.82513427734375,1561.7684326171875,1123.1199951171875,602.5642700195312,1779.491943359375,624.9483642578125,1695.731689453125,1146.789306640625,829.360107421875,0.2862745225429535,0.23137256503105164,0.2352941334247589,0.24313727021217346,0.3450980484485626,0.45098042488098145,0.458823561668396,0.4235294461250305,0.29019609093666077,0.3176470696926117,0.13968034088611603,0.13134121894836426,0.13968034088611603,0.12925642728805542,0.15218903124332428,0.15427380800247192,0.15010423958301544,0.13968034088611603,0.08964559435844421,0.13968034088611603,275.4925537109375,-65.0638198852539,-6.37198543548584,275.4925537109375,-65.0638198852539,-6.37198543548584,276.5023193359375,-64.13990020751953,-5.144472122192383,276.5023193359375,-64.13990020751953,-5.144472122192383,273.90875244140625,-65.1791000366211,-5.451618194580078,270.38385009765625,-68.03269958496094,-6.1862921714782715,270.38385009765625,-68.03269958496094,-6.1862921714782715,270.1375732421875,-68.9341049194336,-6.213878154754639,270.1375732421875,-68.9341049194336,-6.213878154754639,271.5660400390625,-66.61876678466797,-6.8815460205078125,14.142135623730951,8.679143468442334,-1.0,0.007076283338112992,3.5,0.47,14.1,68
L-1:9,3.8078865529319543,2.7708872563546483,3.6665543824781066,0.36785974607072064,1.1571489164109918,3.7165171868296265,1.6189798031936615,4.001606895853595,2.672955555074282,2.2274545613133427,2095.983642578125,154.4605712890625,1375.6488037109375,795.4290161132812,451.670166015625,2051.98291015625,566.0234375,1231.713623046875,1501.021240234375,1113.3218994140625,1817.0030517578125,322.6862487792969,1920.6214599609375,1753.8558349609375,0.0,0.0,605.697998046875,1762.9068603515625,2207.12841796875,853.8781127929688,0.3137255012989044,0.2549019753932953,0.19215688109397888,0.19215688109397888,0.29019609093666077,0.3921568989753723,0.40000003576278687,0.1882353127002716,0.4392157196998596,0.4117647409439087,0.12091730535030365,0.11466296762228012,0.10632383823394775,0.11466296762228012,0.13759556412696838,0.1480194628238678,0.13551077246665955,0.10215427726507187,0.14593468606472015,0.13968034088611603,274.4870910644531,-64.7360610961914,-2.54539155960083,277.53765869140625,-61.75012969970703,-1.1975525617599487,279.63482666015625,-61.327518463134766,0.9056422710418701,278.5494689941406,-61.654296875,0.8882914185523987,274.52117919921875,-63.7437744140625,-0.3539119064807892,274.52117919921875,-63.7437744140625,-0.3539119064807892,270.1575012207031,-67.28218841552734,-2.173086166381836,274.0054931640625,-65.17000579833984,-2.546145439147949,272.3350524902344,-65.65965270996094,-3.7221319675445557,274.4870910644531,-64.7360610961914,-2.54539155960083,20.402205763103165,3.072383899157449,-1.0,0.005488636363636364,0.5,0.0,14.49,108
L-1:10,3.2882366094914763,4.338355795545638,4.1244250274987975,8.08695403574179,3.7950994212384885,4.257346591481601,0.5557217397224711,3.4210456210770976,1.449680742647038,1.2593554653526704,1936.1116943359375,326.1270751953125,803.703857421875,1414.671630859375,247.46890258789062,1593.26953125,15.975833892822266,1239.326904296875,1198.747802734375,436.65765380859375,1457.1104736328125,442.90289306640625,1035.8592529296875,895.7924194335938,366.5740661621094,2041.39794921875,586.4888305664062,1639.754638671875,1799.2451171875,455.1075744628906,0.3333333432674408,0.2666666805744171,0.27450981736183167,0.2980392277240753,0.3764706254005432,0.38431376218795776,0.34117648005485535,0.40000003576278687,0.4235294461250305,0.38431376218795776,0.1334259957075119,0.13134121894836426,0.13968034088611603,0.13551077246665955,0.14176511764526367,0.12925642728805542,0.14384989440441132,0.1480194628238678,0.15427380800247192,0.13759556412696838,274.427490234375,-66.38035583496094,-3.002509593963623,274.427490234375,-66.38035583496094,-3.002509593963623,275.883544921875,-64.33625793457031,-1.9096390008926392,275.10638427734375,-64.5056381225586,-1.7562261819839478,272.310791015625,-65.99244689941406,-2.1537158489227295,272.310791015625,-65.99244689941406,-2.1537158489227295,269.94830322265625,-69.32440948486328,-3.9388599395751953,269.3974609375,-70.01631927490234,-3.812023639678955,269.3974609375,-70.01631927490234,-3.812023639678955,271.5706787109375,-69.15814971923828,-3.5015480518341064,21.523243250030884,9.452989878375407,-1.0,0.006778858970941082,1.75,0.0,14.53,32
