Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.446771847422842,6.866766127142179,1.2045788736459262,2.8649588471863585,5.576478301280853,2.221615244798068,6.532136705820534,0.832398053476909,2.663936506624973,2.768241604720093,2314.01123046875,576.4334106445313,1703.8824462890625,1134.8641357421875,628.6913452148438,1229.7529296875,552.1529541015625,1613.2977294921875,1866.5648193359375,1765.73583984375,2162.308349609375,414.43896484375,1208.5628662109375,1020.5645141601563,297.4913635253906,1415.8121337890625,346.9163513183594,1822.170166015625,0.0,0.0,0.30980393290519714,0.30980393290519714,0.30980393290519714,0.2666666805744171,0.2666666805744171,0.30980393290519714,0.30980393290519714,0.25882354378700256,0.3019607961177826,0.09803922474384308,0.01568627543747425,0.027450982481241226,0.01568627543747425,0.027450982481241226,0.027450982481241226,0.01568627543747425,0.02352941408753395,0.0313725508749485,0.02352941408753395,0.01568627543747425,178.61309814453125,-40.86282730102539,-5.154943943023682,178.38958740234375,-40.53424835205078,-4.777886390686035,178.38958740234375,-40.53424835205078,-4.777886390686035,178.74517822265625,-40.9604606628418,-5.6260480880737305,178.74517822265625,-40.9604606628418,-5.6260480880737305,178.8048095703125,-42.12417984008789,-6.254947185516357,178.8048095703125,-42.12417984008789,-6.254947185516357,178.6307373046875,-42.50797653198242,-5.336212635040283,178.17913818359375,-41.93222427368164,-4.609940052032471,177.4954833984375,-41.794342041015625,-3.6061925888061523,13.794956314521201,11.627979232265487,1.0,0.009582167832167832,3.6666667759418488,0.0,15.66,100
L-1:2,0.8850029934527186,1.2767621417453874,1.3402817306670072,1.5953011344933692,1.2755922901416523,2.217895600412097,2.7769347637332475,5.326930601639738,2.4974832576865977,8.274738157171566,1296.001708984375,47.49956512451172,915.4636840820313,654.16455078125,629.6929931640625,1331.1480712890625,254.8065948486328,1123.8514404296875,1082.5760498046875,536.8517456054688,1646.4957275390625,17.417112350463867,0.0,0.0,855.5597534179688,1610.421875,102.23275756835938,2013.4169921875,1552.1614990234375,1031.01123046875,0.30588236451148987,0.30588236451148987,0.26274511218070984,0.26274511218070984,0.30588236451148987,0.30588236451148987,0.1882353127002716,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,178.721923828125,-37.99356460571289,-4.307316780090332,179.03948974609375,-38.12723159790039,-4.068341255187988,179.1279296875,-38.610130310058594,-4.391786575317383,179.1279296875,-38.610130310058594,-4.391786575317383,179.19842529296875,-39.8796501159668,-4.95835018157959,179.4730224609375,-40.472660064697266,-5.609982490539551,179.7332763671875,-41.17041778564453,-5.547036170959473,178.68865966796875,-39.828704833984375,-5.840047836303711,178.28204345703125,-38.458343505859375,-5.154636383056641,178.28204345703125,-38.458343505859375,-5.154636383056641,7.985885698653615,2.9116214419887547,1.0,0.008730995966490846,2.0000000596046448,0.0,16.08,36
L-1:3,5.2679976082382005,1.4523033485242807,4.362551768373622,5.25272039242578,9.450872359969864,14.78093133947239,8.903836900089914,5.003137947568369,7.266008896036668,2.8824014304436383,1522.0419921875,47.328453063964844,969.2633666992188,692.0358276367188,489.1458435058594,1167.52783203125,252.67730712890625,954.0862426757813,1087.554443359375,645.1224365234375,1509.512939453125,25.826183319091797,1525.9658203125,550.280029296875,979.9197387695313,1467.802978515625,701.4195556640625,2310.33154296875,2179.1708984375,1486.4327392578125,0.27450981736183167,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.27450981736183167,0.27450981736183167,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.027450982481241226,177.9154052734375,-35.9257926940918,-2.9229462146759033,177.3634033203125,-34.234439849853516,-1.9027414321899414,177.3634033203125,-34.234439849853516,-1.9027414321899414,177.67010498046875,-34.97737503051758,-2.348128080368042,177.46380615234375,-36.09133529663086,-3.329474687576294,177.51025390625,-36.513851165771484,-4.040605068206787,177.51025390625,-36.513851165771484,-4.040605068206787,177.852294921875,-36.800926208496094,-3.8911948204040527,177.852294921875,-36.800926208496094,-3.8911948204040527,177.9154052734375,-35.9257926940918,-2.9229462146759033,8.0447848927348,4.546996159316704,1.0,0.008022484632804918,4.33333346247673,0.0,14.17,100
L-1:4,25.49112345279144,21.05958185904016,16.06596635224371,9.858687910105221,4.015483829214823,0.11602432330127332,10.474908913701146,16.38081596750095,23.841126254354077,29.53623397762489,1895.009521484375,74.4175796508789,1089.7974853515625,501.9713134765625,565.9133911132813,1061.301025390625,194.19970703125,1061.2606201171875,977.0656127929688,1064.9185791015625,1850.67236328125,75.95571899414063,1067.7705078125,1186.2222900390625,173.12322998046875,1341.0972900390625,622.2449951171875,1476.232177734375,1797.9208984375,1420.131591796875,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.250980406999588,0.2549019753932953,0.2980392277240753,0.3137255012989044,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.019607843831181526,179.33697509765625,-43.39037322998047,-5.421334266662598,179.33697509765625,-43.39037322998047,-5.421334266662598,179.4176025390625,-43.31855010986328,-5.254063129425049,179.4176025390625,-43.31855010986328,-5.254063129425049,179.20538330078125,-43.89295196533203,-5.089428901672363,179.7200927734375,-44.37300109863281,-4.8724164962768555,179.226806640625,-43.76723861694336,-5.862516403198242,179.61273193359375,-43.830238342285156,-5.535994529724121,179.61273193359375,-43.830238342285156,-5.535994529724121,179.33697509765625,-43.39037322998047,-5.421334266662598,10.275051008671142,16.57183573594876,1.0,0.008433291245791246,15.333333790302277,3.49,11.45,96
L-1:5,8.503830642935016,11.379541226642477,7.3237799340673835,1.6099667399858641,2.270342252494099,4.390153235420245,5.384224049914737,1.345795156769603,1.3540428961856172,2.3172442483114626,1186.2034912109375,107.94403076171875,1316.7332763671875,863.369873046875,692.652099609375,1692.853271484375,338.1724853515625,1681.9276123046875,1174.1783447265625,845.7930908203125,1054.0987548828125,111.18755340576172,1778.997314453125,1155.788818359375,692.2835693359375,1582.093017578125,673.5989990234375,2115.639404296875,1304.775390625,959.1366577148438,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.25882354378700256,0.29411765933036804,0.2862745225429535,0.2823529541492462,0.2705882489681244,0.2705882489681244,0.2666666805744171,0.01568627543747425,0.01568627543747425,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.01568627543747425,180.60850524902344,-41.78476333618164,-6.701018810272217,180.6885986328125,-41.823951721191406,-6.397623538970947,180.6885986328125,-41.823951721191406,-6.397623538970947,180.9219207763672,-42.26852035522461,-6.376936912536621,181.05593872070313,-42.986671447753906,-6.7690958976745605,180.8191375732422,-42.823184967041016,-7.277731418609619,180.8191375732422,-42.823184967041016,-7.277731418609619,180.77366638183594,-42.33513259887695,-6.965400218963623,180.77366638183594,-42.33513259887695,-6.965400218963623,180.60850524902344,-41.78476333618164,-6.701018810272217,7.761091942011728,8.395371300543122,1.0,0.008247607655502392,2.3333334028720856,0.0,13.79,68
L-1:6,5.41723020025764,1.0922729690296291,4.960614482609563,1.7002348037760195,3.3847473658737286,4.881423559001795,1.0156218588450603,6.13888506688014,0.740109790748498,6.741160617279044,1530.4219970703125,189.8639373779297,1146.7413330078125,484.4072570800781,574.3912353515625,998.4661865234375,876.2556762695313,1852.7562255859375,1428.6495361328125,1037.27490234375,1991.550537109375,30.151338577270508,2052.224853515625,980.176025390625,667.76025390625,1768.9471435546875,1059.257080078125,2205.990234375,1830.541015625,1371.1806640625,0.3019607961177826,0.3019607961177826,0.30588236451148987,0.250980406999588,0.25882354378700256,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.25882354378700256,0.25882354378700256,0.01568627543747425,0.019607843831181526,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.019607843831181526,0.02352941408753395,180.12281799316406,-37.633575439453125,-4.524341583251953,180.00833129882813,-37.254364013671875,-3.7532613277435303,178.512939453125,-38.07346725463867,-5.1939239501953125,179.21044921875,-38.703102111816406,-5.906541347503662,179.58258056640625,-40.07691192626953,-6.587468147277832,179.58258056640625,-40.07691192626953,-6.587468147277832,180.23431396484375,-39.648956298828125,-5.763416290283203,180.23431396484375,-39.648956298828125,-5.763416290283203,180.12281799316406,-37.633575439453125,-4.524341583251953,180.12281799316406,-37.633575439453125,-4.524341583251953,5.2764717638284955,6.639685008637143,1.0,0.007207214493691362,1.3333333730697632,0.0,12.73,0
L-1:7,10.785763580169899,11.16790174915434,2.01022902089236,12.065508185196673,16.174911724421957,6.89529508077856,4.318483257590133,5.876116003293441,6.233132733786892,0.608020985961141,1205.12158203125,12.746121406555176,1533.9302978515625,883.1500854492188,1252.379638671875,1619.6817626953125,338.6781311035156,2129.057861328125,1823.31298828125,1246.5391845703125,2145.418701171875,202.53936767578125,1935.2401123046875,1643.2269287109375,762.3172607421875,1828.903076171875,517.5172729492188,2650.087158203125,1925.435302734375,2170.58349609375,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.019607843831181526,179.07135009765625,-38.097564697265625,-5.032812118530273,179.07135009765625,-38.097564697265625,-5.032812118530273,179.448486328125,-38.43294143676758,-5.199351787567139,179.448486328125,-38.43294143676758,-5.199351787567139,179.6337890625,-39.57277297973633,-5.931995391845703,179.6337890625,-39.57277297973633,-5.931995391845703,179.8785400390625,-39.21298599243164,-5.01356315612793,179.8785400390625,-39.21298599243164,-5.01356315612793,179.094970703125,-38.59270477294922,-4.213256359100342,179.094970703125,-38.59270477294922,-4.213256359100342,11.483122203181681,4.778871244990806,1.0,0.006363636363636363,1.666666716337204,0.0,11.12,0
L-1:8,8.862790182599207,12.359949206283485,1.3923979581975927,11.522537079975471,15.251659693538821,4.25821318782846,20.294990426221972,20.692112809135242,19.45128115724984,19.296157371073402,2676.69677734375,749.0723266601563,286.5980529785156,58.859397888183594,1019.908935546875,2280.79052734375,469.47216796875,2949.91357421875,1537.1259765625,864.5255126953125,1997.6029052734375,470.39654541015625,2455.693115234375,1635.383544921875,1352.8438720703125,2549.869384765625,598.3887329101563,2647.019775390625,2788.81005859375,2111.728515625,0.29019609093666077,0.24313727021217346,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,179.6727294921875,-39.00448989868164,-4.021857261657715,179.1610107421875,-38.06736373901367,-5.572399139404297,179.4129638671875,-38.0713996887207,-6.0225982666015625,180.35755920410156,-39.217132568359375,-7.100738525390625,180.35755920410156,-39.217132568359375,-7.100738525390625,180.8136444091797,-40.18656921386719,-6.987560749053955,180.8136444091797,-40.18656921386719,-6.987560749053955,180.26287841796875,-39.344573974609375,-5.563640117645264,180.26287841796875,-39.344573974609375,-5.563640117645264,180.26287841796875,-39.344573974609375,-5.563640117645264,19.685771461200297,21.820611597698374,1.0,0.005023191094619666,5.6666668355464935,2.62,10.83,0
L-1:9,3.3085710454122252,16.610256550584594,12.52834956111128,7.937432609456302,6.514137377789915,10.127103577545007,11.134411773926846,4.799938597881723,3.0527555554373644,6.605287767879991,1830.6890869140625,792.864013671875,1590.276611328125,989.7135009765625,566.0870971679688,2542.844482421875,710.1163940429688,1639.513427734375,1085.773193359375,986.3399658203125,2371.31591796875,98.91580963134766,2005.798828125,1187.8232421875,508.4922180175781,1876.898681640625,408.01629638671875,2802.697509765625,1421.8990478515625,1281.413818359375,0.27450981736183167,0.27450981736183167,0.25882354378700256,0.3019607961177826,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.27450981736183167,0.027450982481241226,0.01568627543747425,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,179.248779296875,-39.01618194580078,-4.955735206604004,179.45172119140625,-38.23582077026367,-4.902840614318848,179.45172119140625,-38.23582077026367,-4.902840614318848,180.20785522460938,-39.174415588378906,-6.59423303604126,180.20785522460938,-39.174415588378906,-6.59423303604126,181.16799926757813,-41.03961181640625,-6.876356601715088,181.16799926757813,-41.03961181640625,-6.876356601715088,179.6058349609375,-39.43036651611328,-5.955410480499268,179.6058349609375,-39.43036651611328,-5.955410480499268,179.248779296875,-39.01618194580078,-4.955735206604004,3.763232697025712,4.1555788668275255,1.0,0.006276542800265428,7.000000208616257,0.0,10.81,0
L-1:10,2.325777514095475,5.274564296171586,4.733352254806621,5.413450267312126,7.296243752800209,6.500920350968339,2.831621583121041,0.6269747971231837,4.200893131189611,8.07508698889459,1777.6529541015625,847.0292358398438,1074.121826171875,448.1678771972656,770.6971435546875,1624.270751953125,372.6915588378906,2122.09326171875,1271.6126708984375,1122.510986328125,1561.59765625,101.09961700439453,2295.513671875,1747.9072265625,906.4586181640625,1980.391357421875,962.1273193359375,2244.712646484375,2237.59033203125,1511.0765380859375,0.2666666805744171,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.27450981736183167,0.2666666805744171,0.2666666805744171,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,179.16461181640625,-38.843013763427734,-4.081821441650391,178.9884033203125,-38.49153137207031,-4.6309123039245605,179.52685546875,-38.3034782409668,-5.472810745239258,179.52685546875,-38.3034782409668,-5.472810745239258,179.65338134765625,-39.3683967590332,-5.725439071655273,179.65338134765625,-39.3683967590332,-5.725439071655273,179.72088623046875,-39.315486907958984,-5.33650541305542,179.72088623046875,-39.315486907958984,-5.33650541305542,179.72088623046875,-39.315486907958984,-5.33650541305542,179.16461181640625,-38.843013763427734,-4.081821441650391,17.549658027246238,8.598268406198825,1.0,0.006049227452389507,3.333333432674408,0.0,9.62,0
