Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.312428599613743,1.6392077540871715,5.172500833419838,4.065293003973647,2.4927517233293277,1.8673192699973713,8.078954351084151,4.464164104983972,9.308815147111448,0.6216723658152558,2348.853515625,23.47104263305664,2694.971923828125,1629.216552734375,167.73980712890625,1918.1114501953125,938.5761108398438,1526.5440673828125,1274.98974609375,849.4140625,1316.48193359375,263.4587097167969,921.852294921875,329.986572265625,82.57555389404297,1502.7177734375,358.41290283203125,1542.1710205078125,1502.131103515625,1476.864990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.021568628028035164,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.021568628028035164,0.0313725508749485,309.8667297363281,-10.3479585647583,-2.480682134628296,309.7626953125,-10.323797225952148,-2.591756820678711,309.7626953125,-10.323797225952148,-2.591756820678711,309.7017517089844,-10.344749450683594,-2.6847708225250244,309.5966491699219,-10.336868286132812,-2.7427594661712646,310.2698059082031,-10.299086570739746,-2.5130951404571533,310.20770263671875,-10.392962455749512,-2.5701441764831543,310.1171875,-10.458357810974121,-2.622774839401245,309.9793701171875,-10.342442512512207,-2.4566001892089844,309.9793701171875,-10.342442512512207,-2.4566001892089844,18.629437014089127,12.138626588884131,-1.0,0.007514506769825919,3.75,0.0,17.76,36
L-1:2,11.430942510825213,6.462929514219716,12.265155293210922,5.657209662268801,7.107987208132248,5.488611047141767,0.17575906130628463,3.028160677747938,1.8115101502878703,12.626436652482628,2277.02392578125,223.4741973876953,3199.62939453125,2543.756591796875,18.20683479309082,2588.47216796875,1319.79931640625,2756.35400390625,1267.5518798828125,1478.3653564453125,2603.171142578125,129.7334747314453,1571.795654296875,1324.4598388671875,648.5072631835938,1761.5865478515625,302.9690246582031,2151.912353515625,1797.7039794921875,1330.76611328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.027450982481241226,309.03125,-10.033097267150879,-3.2396154403686523,309.03125,-10.033097267150879,-3.2396154403686523,308.9654846191406,-10.014482498168945,-3.313422203063965,308.9144287109375,-9.967150688171387,-3.429227352142334,308.8258361816406,-9.993391036987305,-3.5074901580810547,308.8258361816406,-9.993391036987305,-3.5074901580810547,309.16485595703125,-10.108752250671387,-3.147808313369751,309.16485595703125,-10.108752250671387,-3.147808313369751,309.11199951171875,-10.077529907226562,-3.159501791000366,309.0738830566406,-10.044096946716309,-3.1737706661224365,19.10921689683165,5.9950233405058215,-1.0,0.005813917204077388,0.25,0.0,15.97,36
L-1:3,2.8461555116137034,1.5469607913592762,8.710931212617647,4.545962498800722,2.365086103088326,3.2261752803741564,9.928795766276867,2.7055258130818576,4.690523064838284,3.5589131172001527,2226.789306640625,66.66532135009766,766.8193969726562,722.1187744140625,1339.6943359375,3565.53173828125,412.8487854003906,1638.97314453125,1551.1005859375,911.4810180664062,2017.2764892578125,338.13299560546875,3328.6962890625,2337.2919921875,913.0188598632812,2139.068603515625,682.6613159179688,2714.299560546875,1960.26904296875,1502.26220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,308.2261962890625,-9.517395973205566,-3.6334335803985596,308.5069274902344,-9.718938827514648,-3.537841558456421,308.5069274902344,-9.718938827514648,-3.537841558456421,308.4566650390625,-9.722856521606445,-3.610095262527466,308.38409423828125,-9.690579414367676,-3.6150496006011963,308.30218505859375,-9.582621574401855,-3.627610445022583,308.30218505859375,-9.582621574401855,-3.627610445022583,308.2675476074219,-9.564800262451172,-3.6120786666870117,308.2675476074219,-9.564800262451172,-3.6120786666870117,308.2261962890625,-9.517395973205566,-3.6334335803985596,6.676397215950849,12.018229324908447,-1.0,0.005676559943912129,5.0,0.0,13.88,36
L-1:4,6.298588294852795,6.96776827441387,7.610499522874515,6.873063766534357,2.960209856064773,13.33117240242923,14.610961738416322,5.287503300584748,7.431670437437156,4.026019260624669,3121.70361328125,833.7493896484375,2566.267578125,2499.624267578125,697.468505859375,3876.77392578125,267.7642822265625,3091.18310546875,1108.6734619140625,469.53680419921875,3951.476806640625,181.00527954101562,3049.1318359375,2016.1295166015625,560.9205322265625,2664.163330078125,1683.020751953125,3192.547119140625,2453.49755859375,1902.8660888671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.021568628028035164,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.02352941408753395,307.47222900390625,-9.371123313903809,-4.013784408569336,307.4158630371094,-9.371825218200684,-4.098855972290039,307.4158630371094,-9.371825218200684,-4.098855972290039,307.3992919921875,-9.339344024658203,-4.119412422180176,307.55908203125,-9.408974647521973,-3.9803056716918945,307.50274658203125,-9.359631538391113,-3.993142604827881,307.50274658203125,-9.359631538391113,-3.993142604827881,307.47265625,-9.3707914352417,-3.9958553314208984,307.47265625,-9.3707914352417,-3.9958553314208984,307.47222900390625,-9.371123313903809,-4.013784408569336,12.682074829169565,7.374139635300408,-1.0,0.0042301435406698566,1.25,4.19,12.63,44
L-1:5,3.970687753597891,1.1258373150048147,3.989322402287137,2.0711497723063546,4.044795074796149,3.106451298966646,5.453480847111184,5.576504841855946,2.602503057607919,2.0080457204316997,2588.39013671875,262.9638977050781,1650.712158203125,1373.9588623046875,342.5760498046875,2977.072998046875,142.48680114746094,2685.00830078125,1382.794921875,613.1871948242188,2428.353759765625,116.97017669677734,1507.713623046875,1143.3040771484375,181.5578155517578,1666.987060546875,534.9249267578125,1592.1470947265625,1529.744384765625,1218.61865234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.0313725508749485,0.021568628028035164,0.027450982481241226,0.03529411926865578,0.021568628028035164,306.3280334472656,-8.95630168914795,-3.9293501377105713,306.3280334472656,-8.95630168914795,-3.9293501377105713,306.3280334472656,-8.95630168914795,-3.9293501377105713,306.24908447265625,-8.982587814331055,-3.9726061820983887,306.24908447265625,-8.982587814331055,-3.9726061820983887,306.20379638671875,-8.950175285339355,-4.021201133728027,306.4945068359375,-9.003138542175293,-3.9617953300476074,306.4402770996094,-8.985177993774414,-3.9458181858062744,306.4402770996094,-8.985177993774414,-3.9458181858062744,306.3878479003906,-8.954611778259277,-3.947661876678467,10.385630848677417,6.04804569693935,-1.0,0.005978664192949908,2.75,0.0,12.89,0
L-1:6,0.7814477288843545,4.704008969396842,5.157583783722799,9.027966944011187,1.5544449106807532,4.44974215328404,3.8608298067290234,3.221778918259131,5.76056147897039,6.048043577927973,1584.7584228515625,84.17354583740234,1964.0706787109375,975.0543823242188,86.54962158203125,1447.6153564453125,880.797119140625,2351.391845703125,1176.8092041015625,1049.7606201171875,3231.076416015625,409.1777648925781,2573.2060546875,1720.406494140625,400.7032775878906,2153.658447265625,591.7406616210938,2697.574462890625,1437.7257080078125,794.8649291992188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.029411766678094864,0.0313725508749485,306.0694580078125,-8.907144546508789,-3.963927984237671,306.0467224121094,-8.898406028747559,-3.9566428661346436,305.9883117675781,-8.855432510375977,-3.9490766525268555,305.9495544433594,-8.840012550354004,-3.952394962310791,305.9495544433594,-8.840012550354004,-3.952394962310791,305.8926086425781,-8.774748802185059,-3.961754322052002,305.8926086425781,-8.774748802185059,-3.961754322052002,305.8558044433594,-8.74718952178955,-3.9296276569366455,305.8558044433594,-8.74718952178955,-3.9296276569366455,305.8380126953125,-8.748988151550293,-3.9109838008880615,1.7819737085186085,14.102075301421971,-1.0,0.006251666222340709,2.75,0.0,13.4,0
L-1:7,2.954902557986856,2.6463208561264056,4.330322339235614,4.119305924665404,13.58810308297911,4.183300588613884,1.5146874640521741,2.254118586186126,6.623492010543261,1.915351245435341,2477.298583984375,457.1261291503906,1325.73779296875,1714.6976318359375,876.7649536132812,2456.810791015625,82.81791687011719,1721.7457275390625,2001.9202880859375,1449.3316650390625,4964.05859375,1350.776611328125,2660.54736328125,1525.7806396484375,340.93896484375,1713.9710693359375,273.97637939453125,1206.1201171875,682.3348388671875,714.952880859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.029411766678094864,0.027450982481241226,0.021568628028035164,0.03529411926865578,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,305.4913635253906,-8.565590858459473,-3.9430084228515625,305.53497314453125,-8.567084312438965,-3.95005464553833,305.53497314453125,-8.567084312438965,-3.95005464553833,305.57861328125,-8.541902542114258,-3.9361894130706787,305.59466552734375,-8.574954986572266,-3.927947998046875,305.59466552734375,-8.574954986572266,-3.927947998046875,305.60711669921875,-8.56765365600586,-3.9107775688171387,305.60711669921875,-8.56765365600586,-3.9107775688171387,305.6363525390625,-8.594559669494629,-3.9230289459228516,305.4913635253906,-8.565590858459473,-3.9430084228515625,13.602735894963374,3.984486132157315,1.0,0.00603741062308478,1.25,0.0,13.51,0
L-1:8,10.632804068983157,11.025817316220882,5.467859563311197,3.7352133633206637,8.515407188293704,14.364800989808618,7.679128460444983,6.996366579616062,4.476434152846989,6.3395608432256045,1639.1138916015625,13.51621150970459,1518.8394775390625,1096.744140625,498.8501281738281,2134.1533203125,474.57769775390625,1382.4840087890625,1309.6973876953125,821.3111572265625,3095.6474609375,23.612424850463867,1359.4031982421875,820.9757080078125,509.7530517578125,1803.0682373046875,126.99972534179688,113.1395034790039,1072.9559326171875,917.102294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.019607843831181526,0.027450982481241226,0.027450982481241226,304.7699279785156,-8.333942413330078,-4.123693466186523,304.8367919921875,-8.34114933013916,-4.13551139831543,304.87774658203125,-8.340744972229004,-4.10442590713501,304.87774658203125,-8.340744972229004,-4.10442590713501,304.91339111328125,-8.353678703308105,-4.097053527832031,304.91339111328125,-8.353678703308105,-4.097053527832031,304.9642333984375,-8.337313652038574,-4.082076549530029,305.0284729003906,-8.416573524475098,-4.1247100830078125,305.0741271972656,-8.429815292358398,-4.120621204376221,304.72625732421875,-8.298116683959961,-4.093492031097412,13.338260137746499,14.796271477606085,1.0,0.007163941241685144,2.5,3.71,14.77,0
L-1:9,6.007416591819317,1.6082723666167746,9.934330150781152,7.142899547597318,10.493894239921536,2.6798931965968373,0.5393274185736316,4.822108529585154,3.1480899905786366,7.437064188286123,3471.770263671875,349.7559509277344,2422.873291015625,1056.65576171875,405.5333557128906,2415.71630859375,729.662353515625,2466.802734375,1114.4278564453125,863.0983276367188,3037.896728515625,152.89402770996094,2900.131103515625,2918.521484375,726.30615234375,1964.99267578125,466.56573486328125,1389.605224609375,1304.393310546875,964.6703491210938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.021568628028035164,0.027450982481241226,303.9805603027344,-8.050280570983887,-4.0486907958984375,303.9805603027344,-8.050280570983887,-4.0486907958984375,304.02606201171875,-8.042952537536621,-4.058700084686279,304.059814453125,-8.022637367248535,-4.005643367767334,304.1030578613281,-8.051291465759277,-3.945945978164673,304.1030578613281,-8.051291465759277,-3.945945978164673,304.1108093261719,-8.064082145690918,-3.9307355880737305,304.1108093261719,-8.064082145690918,-3.9307355880737305,304.13861083984375,-8.078804969787598,-3.9304046630859375,303.9474182128906,-8.044639587402344,-4.097177982330322,17.106643974386277,3.2741395237230826,1.0,0.005999306037473977,1.25,0.0,14.82,0
L-1:10,5.425657508488171,9.8855104716314,3.0310862040064803,2.9072584940728174,6.519835293268364,3.0133573079913707,10.595165475263723,8.659486929859527,6.907516318183336,4.921752608616367,2002.72314453125,393.98388671875,2864.200439453125,1490.5869140625,573.1475219726562,1975.28125,600.5299072265625,2040.9154052734375,1731.2939453125,1440.9395751953125,2995.326171875,161.01974487304688,3064.602294921875,2629.833251953125,1211.644775390625,2831.52880859375,893.0783081054688,1564.8125,1212.8370361328125,1111.1295166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.021568628028035164,0.027450982481241226,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,303.60845947265625,-7.938525676727295,-4.326620578765869,303.6841735839844,-7.902022838592529,-4.2767014503479,303.7297058105469,-7.8967413902282715,-4.221709251403809,303.7297058105469,-7.8967413902282715,-4.221709251403809,303.72198486328125,-7.876554489135742,-4.155599117279053,303.7707824707031,-7.906711578369141,-4.125523090362549,303.7707824707031,-7.906711578369141,-4.125523090362549,303.8525390625,-8.006917953491211,-4.1294355392456055,303.8825988769531,-8.03506088256836,-4.119537830352783,303.8825988769531,-8.03506088256836,-4.119537830352783,12.479273740959714,11.917109418339347,1.0,0.00556254029658285,4.25,0.0,14.79,0
