Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.137146575678097,8.231338246156232,13.326484041018714,1.3724583286935508,0.4948608858589658,2.441143972703429,2.358434841707773,10.344365605792195,18.18216465318916,17.710368086683136,1107.6678466796875,327.24932861328125,1801.7008056640625,280.61846923828125,121.40153503417969,987.9442749023438,464.0655212402344,1386.9071044921875,1012.32958984375,788.2713012695312,2466.006103515625,465.868408203125,850.7041625976562,788.6092529296875,389.8788146972656,1407.11279296875,639.633544921875,1157.2666015625,1184.96240234375,913.2907104492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.029411766678094864,0.0313725508749485,48.48006057739258,-37.978172302246094,-14.305564880371094,48.378692626953125,-37.77760314941406,-13.6801176071167,48.392425537109375,-37.97686767578125,-13.63947582244873,48.68791198730469,-38.85709762573242,-14.385540008544922,49.053382873535156,-39.863834381103516,-15.353819847106934,49.053382873535156,-39.863834381103516,-15.353819847106934,49.10283660888672,-40.47148895263672,-16.920127868652344,48.71122360229492,-39.776363372802734,-15.964218139648438,48.71122360229492,-39.776363372802734,-15.964218139648438,48.48006057739258,-37.978172302246094,-14.305564880371094,10.190476380288601,11.536865432489476,1.0,0.009049925484351715,3.428571492433548,0.0,13.88,68
L-1:2,2.4037008950817436,1.7823776418692692,6.217212450823553,2.538936315029039,7.485451608404594,7.596395037725983,0.6686552429595004,1.6189919832033424,3.2672102790126196,2.5899626014118153,1625.73046875,137.03042602539062,1005.5645751953125,373.66729736328125,239.53433227539062,895.3909912109375,14.640772819519043,474.96417236328125,900.526611328125,788.0900268554688,955.0052490234375,295.5966491699219,1378.67724609375,1934.867431640625,213.69593811035156,825.2584228515625,448.1331481933594,1016.7511596679688,1061.4322509765625,1107.201416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.03529411926865578,0.03529411926865578,0.03333333507180214,48.66545486450195,-37.28099822998047,-17.397336959838867,48.80360412597656,-37.58741760253906,-17.329910278320312,49.072479248046875,-38.09113693237305,-17.64543914794922,49.072479248046875,-38.09113693237305,-17.64543914794922,49.41869354248047,-38.93430709838867,-18.35112190246582,49.61000061035156,-39.5186882019043,-18.87371253967285,49.49787139892578,-40.153167724609375,-19.202266693115234,49.06760787963867,-38.07311248779297,-18.835298538208008,48.735450744628906,-37.915069580078125,-18.154470443725586,48.66545486450195,-37.28099822998047,-17.397336959838867,12.705276159717787,7.3037540190370995,1.0,0.010910133444537113,0.761904776096344,0.0,14.95,68
L-1:3,5.547568057316534,1.9683201421417569,5.287482778494349,1.810364512471258,6.846278205762823,4.48529983185631,5.6361989760093945,9.067282155828536,6.213191535614008,12.327242345583972,726.6441650390625,41.433143615722656,1102.8331298828125,335.0566711425781,919.728759765625,2589.79296875,673.5442504882812,1606.0841064453125,1015.6436157226562,455.0664978027344,1269.893798828125,24.56202507019043,1267.255126953125,1130.3746337890625,488.9743957519531,1316.4659423828125,556.6386108398438,977.6387329101562,866.27001953125,517.4080200195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.03529411926865578,47.4893684387207,-34.512237548828125,-14.949599266052246,47.18505859375,-34.59920120239258,-15.08919906616211,46.172183990478516,-33.090213775634766,-12.365686416625977,46.797088623046875,-34.493629455566406,-13.190074920654297,46.797088623046875,-34.493629455566406,-13.190074920654297,47.42770004272461,-35.7261962890625,-14.636228561401367,47.89876174926758,-35.4998664855957,-15.199841499328613,48.18896484375,-35.14397430419922,-15.231886863708496,48.18896484375,-35.14397430419922,-15.231886863708496,48.028839111328125,-34.843353271484375,-15.190701484680176,6.953033367012805,11.582511363858174,-1.0,0.010528255528255528,5.71428582072258,0.0,17.14,64
L-1:4,9.758071438339947,17.573237342988214,17.52425408801867,13.78101317838172,3.3340092410528155,24.369231267190727,33.20879466494314,15.929021538482772,1.310435990399491,4.4325060086469845,1130.0208740234375,169.0868682861328,1034.6663818359375,884.5206298828125,450.45135498046875,1079.24072265625,515.5748901367188,2346.424560546875,728.7684326171875,1951.8572998046875,2031.0616455078125,295.8016357421875,1380.8018798828125,1823.1131591796875,643.3682861328125,2327.282470703125,265.53851318359375,582.1861572265625,535.108154296875,465.7334899902344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.037254903465509415,0.0313725508749485,0.0313725508749485,0.03333333507180214,0.029411766678094864,47.39995574951172,-39.90501022338867,-15.954931259155273,47.39995574951172,-39.90501022338867,-15.954931259155273,48.08106994628906,-40.402767181396484,-16.701175689697266,48.08106994628906,-40.402767181396484,-16.701175689697266,48.08106994628906,-40.402767181396484,-16.701175689697266,48.429931640625,-41.34849548339844,-17.21063804626465,48.08757019042969,-42.01401901245117,-16.494253158569336,48.08757019042969,-42.01401901245117,-16.494253158569336,46.96725845336914,-41.14501953125,-16.733125686645508,46.960235595703125,-40.246360778808594,-16.200321197509766,8.597315566678434,19.615481658070056,1.0,0.009602272727272727,0.761904776096344,1.7,13.52,32
L-1:5,3.4875873837424343,2.679343194222354,6.9841662723698095,15.303840582528675,10.058873363469427,7.51596953311921,10.354580315414976,3.9863639717644026,3.501573792703932,1.384275550908582,1223.76318359375,133.1856231689453,1490.541259765625,592.4235229492188,370.560791015625,895.4480590820312,264.8720397949219,1177.6572265625,1429.2635498046875,981.800048828125,1747.160400390625,186.55821228027344,1172.0955810546875,851.2035522460938,309.59130859375,2914.2353515625,357.8858642578125,1273.5904541015625,936.3883056640625,610.2564086914062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.0313725508749485,0.027450982481241226,0.03529411926865578,47.51941680908203,-37.729164123535156,-19.882959365844727,47.57889175415039,-37.572784423828125,-19.257421493530273,47.779258728027344,-37.62859344482422,-19.05272674560547,48.05339813232422,-38.067718505859375,-19.56704330444336,48.94532012939453,-39.81283187866211,-21.10904884338379,48.94532012939453,-39.81283187866211,-21.10904884338379,48.927284240722656,-40.87858200073242,-21.476472854614258,49.29811096191406,-40.820701599121094,-21.70498275756836,47.31109619140625,-38.52317810058594,-20.727140426635742,47.51941680908203,-37.729164123535156,-19.882959365844727,1.428571455180645,2.145219307131098,1.0,0.008708133971291866,6.857142984867096,0.0,15.6,76
L-1:6,0.4856209151018499,6.586238784022923,6.323155687490613,4.328884348776206,5.5519329475623005,4.953296710908375,2.7671250374913217,0.11278542398806853,12.372636115441374,12.723244884038367,462.7807922363281,36.357810974121094,793.702392578125,408.06805419921875,674.8171997070312,1998.7451171875,1037.7711181640625,1580.4774169921875,1191.4066162109375,787.82958984375,1266.3421630859375,111.91835021972656,1339.9910888671875,874.0341186523438,100.49790954589844,1013.392578125,712.1866455078125,1352.63134765625,443.133544921875,491.48114013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03333333507180214,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.029411766678094864,0.03529411926865578,0.03333333507180214,45.71487045288086,-32.532989501953125,-13.918221473693848,45.746334075927734,-32.65589904785156,-13.796436309814453,45.14229202270508,-30.885831832885742,-13.055153846740723,45.310516357421875,-32.11412048339844,-13.359967231750488,45.310516357421875,-32.11412048339844,-13.359967231750488,45.833740234375,-33.166873931884766,-14.082818031311035,45.98001480102539,-33.560333251953125,-14.231185913085938,45.98001480102539,-33.560333251953125,-14.231185913085938,46.14455795288086,-33.30194091796875,-14.248221397399902,45.87140655517578,-32.743064880371094,-14.07147216796875,4.915614529870527,14.297946262420954,-1.0,0.011221973094170404,6.476190596818924,0.0,15.73,68
L-1:7,6.263307944266012,5.72698559690463,7.508992242797365,3.0201279302037585,6.185706172844048,14.201019039249122,12.246489535204553,5.272681867668768,4.063603209454107,0.7317921148912375,1052.83740234375,94.35301971435547,1025.6080322265625,489.2854309082031,164.03213500976562,865.4228515625,391.2891540527344,1511.0235595703125,1169.84375,1049.518310546875,1544.6832275390625,65.06231689453125,998.2139892578125,895.4005737304688,414.5246276855469,1442.437744140625,521.5264282226562,1595.9146728515625,826.4775390625,310.5743408203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.03529411926865578,0.029411766678094864,0.03333333507180214,0.03333333507180214,0.0313725508749485,0.03529411926865578,0.03333333507180214,45.980369567871094,-27.64114761352539,-10.256019592285156,46.050132751464844,-28.103717803955078,-10.065173149108887,46.050132751464844,-28.103717803955078,-10.065173149108887,45.89651870727539,-29.973173141479492,-10.573748588562012,46.09599304199219,-31.975732803344727,-11.473318099975586,46.09599304199219,-31.975732803344727,-11.473318099975586,45.95241928100586,-32.13410186767578,-11.154465675354004,46.04839324951172,-30.924203872680664,-10.223432540893555,46.04839324951172,-30.924203872680664,-10.223432540893555,45.86756896972656,-28.335365295410156,-10.727895736694336,5.280349155736684,1.3984248885248223,1.0,0.01005020080321285,3.047619104385376,0.0,15.73,68
L-1:8,22.197219907977306,15.883771233810984,4.264862095076155,3.756628640864129,13.810006464966737,24.264603788030797,19.42922986066744,2.042390618781036,12.688288856139971,22.536664283541324,1618.276123046875,86.85018920898438,1689.6021728515625,709.340576171875,973.1932373046875,1543.883056640625,180.44093322753906,1848.2279052734375,1013.0792846679688,1512.950927734375,173.51513671875,298.99853515625,902.7982177734375,1052.7073974609375,94.7463150024414,1420.5472412109375,435.99761962890625,1276.8587646484375,1513.7264404296875,964.969970703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.011764707043766975,0.03529411926865578,0.03529411926865578,0.027450982481241226,0.0313725508749485,45.64580535888672,-32.83072280883789,-12.554999351501465,45.64580535888672,-32.83072280883789,-12.554999351501465,46.03004837036133,-33.70154571533203,-12.633386611938477,46.03004837036133,-33.70154571533203,-12.633386611938477,47.23763656616211,-35.41560363769531,-13.541304588317871,46.558677673339844,-33.749629974365234,-10.847211837768555,45.51548767089844,-34.06879425048828,-12.439568519592285,45.51548767089844,-34.06879425048828,-12.439568519592285,45.65959930419922,-33.73668670654297,-12.92724323272705,45.65959930419922,-33.73668670654297,-12.92724323272705,7.648158814044286,22.155681381227758,1.0,0.008410953800298063,5.333333432674408,4.13,12.9,68
L-1:9,1.8491893524388445,0.19192141123652257,6.787449025337553,0.7921237547249391,2.3023449238787794,5.45523952699068,2.778714416271587,2.509199655515866,5.490137722971435,12.89409371704958,1710.00634765625,226.71836853027344,1157.5548095703125,509.3660583496094,442.5328369140625,1063.297607421875,590.2083129882812,1646.2982177734375,2448.5556640625,1948.8897705078125,13.102002143859863,99.55957794189453,930.3787231445312,388.64373779296875,590.407470703125,1748.3480224609375,270.9879150390625,2027.2723388671875,1172.8582763671875,232.85037231445312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.03529411926865578,0.029411766678094864,0.0313725508749485,48.01291275024414,-37.38396453857422,-13.555566787719727,48.01291275024414,-37.38396453857422,-13.555566787719727,48.390560150146484,-37.71955871582031,-13.766288757324219,49.06143569946289,-40.009559631347656,-15.003399848937988,49.06143569946289,-40.009559631347656,-15.003399848937988,49.26179504394531,-38.01218032836914,-15.342225074768066,48.80447006225586,-39.04410934448242,-15.543399810791016,48.80447006225586,-39.04410934448242,-15.543399810791016,48.027400970458984,-37.895484924316406,-14.489391326904297,48.027400970458984,-37.895484924316406,-14.489391326904297,2.9400665386550306,2.765179534974116,1.0,0.00916903409090909,3.047619104385376,0.0,12.91,100
L-1:10,1.79694882052918,2.4533071040838683,6.961337037670214,16.421461758281147,11.841879350807645,14.121597238370107,6.716780173381821,3.268080975586138,0.5684485427441966,2.7966738526210837,1155.145263671875,127.17420959472656,413.7134094238281,53.32228088378906,783.984375,1367.1678466796875,391.95697021484375,1134.808837890625,1158.648681640625,1009.8603515625,1175.8843994140625,91.78230285644531,894.2686767578125,775.351318359375,316.3470458984375,1582.33984375,98.3692398071289,705.1006469726562,575.8362426757812,534.7886352539062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.037254903465509415,0.03529411926865578,0.0313725508749485,0.029411766678094864,0.03529411926865578,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.03529411926865578,47.79810333251953,-33.669898986816406,-13.768162727355957,48.17038345336914,-33.72162628173828,-13.342460632324219,48.17038345336914,-33.72162628173828,-13.342460632324219,48.510005950927734,-34.61656951904297,-13.754779815673828,48.877098083496094,-36.101810455322266,-14.58902645111084,48.889434814453125,-37.08623504638672,-14.960966110229492,48.889434814453125,-37.08623504638672,-14.960966110229492,48.82647705078125,-37.25419235229492,-14.791288375854492,48.82647705078125,-37.25419235229492,-14.791288375854492,47.53975296020508,-34.35607147216797,-14.332629203796387,7.264363497414029,1.3566782707854397,1.0,0.010364806866952788,4.190476268529892,0.0,15.18,108
