Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.522680508593631,1.9498836840475384,3.346735130317504,8.89632620842256,2.465617641794363,1.118033988749895,4.883541052308377,6.303586997718605,8.106402779117165,3.6604743978507055,493.59027099609375,109.59971618652344,780.0746459960938,329.1556701660156,54.74506378173828,447.00189208984375,281.0429382324219,540.9091796875,260.9961242675781,408.45831298828125,522.4169921875,29.827409744262695,686.7594604492188,539.4242553710938,327.2171936035156,518.828369140625,280.3764343261719,449.575927734375,529.261962890625,250.3838348388672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.20000001788139343,0.3333333432674408,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.901438774457844,5.6794234178880965,-1.0,0.018513895430993875,0.0,0.0,22.46,76
L-1:2,0.7071067811865476,1.527937947436432,5.286778010167139,1.2815317336434802,5.543322596165948,6.082762530298219,5.943028381585358,0.8414777400888138,5.159320683804886,4.721459193520438,436.1529235839844,34.175025939941406,108.14020538330078,92.01551055908203,143.98326110839844,426.2119140625,23.865304946899414,196.49740600585938,547.2935180664063,259.76239013671875,572.938232421875,67.65148162841797,405.7276306152344,329.007080078125,275.5274963378906,424.87933349609375,174.75440979003906,645.5726318359375,462.3958740234375,249.3811492919922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40000003576278687,0.2666666805744171,0.13333334028720856,0.2666666805744171,0.3333333432674408,0.20000001788139343,0.20000001788139343,0.40000003576278687,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.534441853748634,7.653939141632128,-1.0,0.025343785960874568,2.5,0.0,25.17,16
L-1:3,5.522680508593631,4.131471423682496,3.5251675204873387,1.1449869303395221,4.517422415091329,1.5811388300841898,2.8494531053125955,4.72463316004943,1.4083279531949608,2.5164133738907615,358.64398193359375,37.62177276611328,367.64593505859375,223.28921508789063,50.276939392089844,550.4749755859375,16.117229461669922,588.7525634765625,316.576416015625,66.19145202636719,332.66015625,0.29184991121292114,237.17039489746094,184.21127319335938,132.88092041015625,512.377685546875,13.754010200500488,906.018798828125,448.9818115234375,195.57579040527344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.860022573334675,2.986140526742814,-1.0,0.025652232383001614,2.5,0.0,27.25,100
L-1:4,5.0,5.128534715882519,5.637914352352345,2.7437375537805755,2.1193549433340384,0.5,4.450174830491585,3.692523810287404,14.399594915232141,2.8986258425337703,498.2185974121094,34.79457473754883,466.5065612792969,261.4208679199219,291.4397277832031,608.0044555664063,154.60845947265625,360.3207092285156,672.9442138671875,563.56103515625,693.9569702148438,55.396575927734375,683.3028564453125,397.2578125,482.9220275878906,939.6155395507813,188.3377227783203,820.0662231445313,366.34027099609375,59.689395904541016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.40000003576278687,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1245154965971,10.746922006817186,-1.0,0.021866537717601546,0.5,4.49,25.84,36
L-1:5,1.4142135623730951,3.2666685091908065,8.314715001072104,13.221852643904558,6.222060690810428,10.012492197250394,6.971028936062343,2.9330171743879743,3.1093999152146923,1.6504968567576577,677.5615234375,136.2050018310547,741.0162963867188,522.159423828125,291.9708251953125,432.17919921875,269.2259826660156,551.0044555664063,424.1509094238281,435.26715087890625,533.81787109375,0.044366396963596344,461.55206298828125,543.0696411132813,168.620849609375,830.1730346679688,219.55813598632813,607.0165405273438,474.9719543457031,313.5564270019531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.534441853748634,4.043716669080069,1.0,0.020520030816640986,3.5,0.0,22.83,44
L-1:6,4.6097722286464435,4.941770865031918,3.7622066570458195,2.2012987332821328,13.100920139452434,1.5811388300841898,8.058240364661954,8.263301469412413,10.575435692683913,4.293539854424822,620.0286254882813,19.79400634765625,664.67626953125,499.0689697265625,75.68697357177734,196.20980834960938,247.0198974609375,290.3733825683594,103.5443115234375,134.63607788085938,773.36962890625,39.04822540283203,688.0906982421875,370.3822326660156,91.77800750732422,839.5704956054688,113.43540954589844,681.7163696289063,471.5993347167969,606.3075561523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.422205101855956,8.15017953724546,1.0,0.019979946524064172,5.0,0.0,25.62,100
L-1:7,7.826237921249264,11.855963806161693,0.5010203406925319,3.759022438939818,1.4100134001914295,6.324555320336759,1.6348101121163297,3.379281878114435,5.622022851156158,9.405818249306767,349.6797790527344,174.71408081054688,357.4023132324219,259.3384094238281,122.53703308105469,649.4306030273438,173.20310974121094,440.3301086425781,450.83270263671875,232.0411834716797,648.2125854492188,3.9704012870788574,495.68017578125,338.5340881347656,189.19403076171875,167.80152893066406,223.36630249023438,498.5621337890625,358.26348876953125,426.3949279785156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.40000003576278687,0.40000003576278687,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7949461292125,1.0345206346918898,-1.0,0.022529082292115466,1.0,0.0,29.88,0
L-1:8,14.080127840328723,21.99553599466303,22.52900830096034,13.944445787434088,3.0324943685169132,4.123105625617661,9.936555506081405,12.885700806474341,10.382438106383844,1.5105378527845106,636.6143188476563,134.95985412597656,1006.2628173828125,569.640380859375,5.52065896987915,969.5243530273438,299.06121826171875,478.23529052734375,742.0369873046875,488.189697265625,673.6284790039063,29.87542152404785,443.78125,512.87841796875,266.2996826171875,867.8909301757813,168.6400909423828,1021.1781616210938,639.8234252929688,613.3438110351563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.278820596099706,15.462847949254272,-1.0,0.01796126949973104,2.5,5.63,19.08,0
L-1:9,6.264982043070834,7.022145775148518,0.5681031097681137,4.389841972604038,5.1703180362030405,8.0156097709407,2.7449803095781897,5.528517752408991,2.7370346274535304,11.830877242550244,449.7447204589844,131.2553253173828,459.9757995605469,328.6853332519531,285.32098388671875,1005.4282836914063,320.9507141113281,397.88970947265625,426.3408203125,276.4708557128906,604.331298828125,5.859005451202393,484.6620788574219,253.31170654296875,335.86688232421875,1048.088623046875,207.6575927734375,777.9988403320313,845.1910400390625,427.8592224121094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.617692030835672,11.148155324939852,-1.0,0.01937112603305785,3.5,0.0,21.43,0
L-1:10,9.192388155425117,7.043529422002003,14.23076183608037,18.36393632224768,10.198113385552155,3.640054944640259,2.1566686926138194,2.2454188534327133,6.182556464244818,1.5280730030327319,469.69757080078125,124.15477752685547,330.36578369140625,204.80914306640625,519.8643798828125,934.9232788085938,175.0271759033203,620.0694580078125,433.5513916015625,167.78640747070313,663.0717163085938,0.007992519997060299,551.9755859375,514.128662109375,467.1138000488281,930.9295043945313,37.58189392089844,709.5066528320313,285.2398681640625,274.9265441894531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.40000003576278687,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.632168761236874,4.727114608639605,-1.0,0.021850828729281766,4.0,0.0,24.86,0
