Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.61133805646656,4.651841331557883,9.483393059865092,22.446962160517838,22.56919643175385,10.529123114494986,14.814356018725544,26.1305696251213,15.044289397569564,6.1819191317260715,0.0,0.0,2149.296630859375,1774.833740234375,1290.163818359375,3066.003173828125,538.9449462890625,1709.250732421875,1727.578369140625,1366.472412109375,1358.107177734375,765.868408203125,1642.0145263671875,2633.00537109375,1196.4080810546875,3682.8193359375,300.96148681640625,1289.947265625,1603.6781005859375,2135.40087890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.74400329589844,-19.256999969482422,5.10699987411499,172.74400329589844,-19.256999969482422,5.10699987411499,172.6649932861328,-19.08300018310547,4.900000095367432,172.6649932861328,-19.08300018310547,4.900000095367432,172.6649932861328,-19.08300018310547,4.900000095367432,172.50999450683594,-18.95599937438965,4.638000011444092,172.50999450683594,-18.95599937438965,4.638000011444092,172.50999450683594,-18.95599937438965,4.638000011444092,172.50999450683594,-18.95599937438965,4.638000011444092,172.4340057373047,-18.874000549316406,4.455999851226807,12.61133805646656,14.518297266910402,-1.0,0.005913682277318641,4.5,0.0,7.36,100
L-1:2,5.657497819976192,5.996860913238944,13.820125889874197,12.218230058075557,5.3137654933461125,4.286140406524282,4.679471116495344,3.8695307281787628,7.059017788891662,5.288956706318858,2624.88916015625,99.47044372558594,1837.7623291015625,1432.8680419921875,215.08251953125,1670.9246826171875,772.0702514648438,1708.6534423828125,1846.42041015625,807.5225219726563,1856.9049072265625,105.20445251464844,1338.84716796875,867.3793334960938,224.4533233642578,1514.2667236328125,764.6195678710938,1769.9569091796875,2039.6722412109375,1649.559326171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.79100036621094,-18.47599983215332,3.4509999752044678,171.79100036621094,-18.47599983215332,3.4509999752044678,171.89199829101563,-18.263999938964844,3.446000099182129,171.83299255371094,-18.474000930786133,3.5999999046325684,171.83299255371094,-18.474000930786133,3.5999999046325684,171.83299255371094,-18.474000930786133,3.5999999046325684,171.80799865722656,-18.5,3.502000093460083,171.80799865722656,-18.5,3.502000093460083,171.79100036621094,-18.47599983215332,3.4509999752044678,171.79100036621094,-18.47599983215332,3.4509999752044678,17.284836271659497,11.423592861773892,-1.0,0.0073729227761485825,0.5,0.0,8.62,100
L-1:3,6.24865089945214,22.064603126065276,23.31743414174872,22.610459699859387,29.385635352170034,17.02951588030049,15.511250982610363,16.74896229600428,7.933296886030954,2.512395834763567,3048.8564453125,1566.9410400390625,2961.5322265625,928.9990844726563,234.67471313476563,3485.41015625,1332.1268310546875,3213.509765625,2169.84326171875,1060.4005126953125,3046.04150390625,595.2799072265625,3375.309814453125,1686.2911376953125,891.908447265625,1905.890380859375,2237.0361328125,2373.525634765625,1154.4139404296875,1038.140869140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.02499389648438,-17.927000045776367,3.0260000228881836,172.1009979248047,-18.020999908447266,3.252000093460083,172.05299377441406,-17.968000411987305,3.138000011444092,172.05299377441406,-17.968000411987305,3.138000011444092,172.05299377441406,-17.968000411987305,3.138000011444092,172.05299377441406,-17.968000411987305,3.138000011444092,172.05299377441406,-17.968000411987305,3.138000011444092,172.02499389648438,-17.927000045776367,3.0260000228881836,172.02499389648438,-17.927000045776367,3.0260000228881836,172.1009979248047,-18.020999908447266,3.252000093460083,6.200310232786898,2.2260318405087918,-1.0,0.005698778833107192,12.5,0.0,7.2,76
L-1:4,2.816874870678681,6.97907700536449,12.188003661009216,20.595473345740523,26.85267970867253,34.9411287097346,22.370351542354452,25.009478073273964,12.18353056020951,2.915748824187418,2433.509033203125,44.25819778442383,1434.9737548828125,1112.282958984375,1437.5076904296875,3117.54833984375,68.39886474609375,68.43435668945313,1516.75146484375,2680.7958984375,2213.07958984375,907.8114624023438,2624.571044921875,2179.184326171875,1156.0404052734375,2567.93359375,1738.724365234375,1534.19140625,2964.040283203125,1374.344970703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.00900268554688,-17.7549991607666,3.5179998874664307,173.00900268554688,-17.7549991607666,3.5179998874664307,173.0019989013672,-17.749000549316406,3.443000078201294,173.21299743652344,-17.062000274658203,3.7260000705718994,173.21299743652344,-17.062000274658203,3.7260000705718994,172.98399353027344,-17.450000762939453,3.5,172.98399353027344,-17.450000762939453,3.5,172.98399353027344,-17.450000762939453,3.5,173.00900268554688,-17.7549991607666,3.5179998874664307,173.00900268554688,-17.7549991607666,3.5179998874664307,29.33610703741008,16.89482409327843,-1.0,0.005522370299857211,15.5,9.64,6.63,100
L-1:5,0.8505416667259229,3.595190226927917,3.352485665108848,3.3880538770676485,3.704076191083162,4.855968523275625,3.734737964385809,3.2469086353787615,5.016594069660158,4.906697897497225,1561.194580078125,244.8615264892578,1360.19580078125,1158.0357666015625,918.2857055664063,1918.2437744140625,773.7366943359375,1604.2852783203125,1468.288330078125,1102.1070556640625,1992.2012939453125,234.05862426757813,2308.224609375,1182.5333251953125,206.7675018310547,1738.6785888671875,908.3798828125,2281.801025390625,1653.8016357421875,1507.3228759765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.7449951171875,-17.170000076293945,3.6040000915527344,173.81300354003906,-17.104000091552734,3.631999969482422,173.81300354003906,-17.104000091552734,3.631999969482422,173.81300354003906,-17.104000091552734,3.631999969482422,173.81300354003906,-17.104000091552734,3.631999969482422,173.77699279785156,-17.141000747680664,3.6419999599456787,173.77699279785156,-17.141000747680664,3.6419999599456787,173.77699279785156,-17.141000747680664,3.6419999599456787,173.6909942626953,-17.29599952697754,3.6019999980926514,173.6909942626953,-17.29599952697754,3.6019999980926514,16.949036915295626,1.6160666805467483,-1.0,0.008304545454545455,5.5,0.0,7.83,0
L-1:6,6.396050595160435,16.30737281934947,15.868296361004376,11.152872027621902,1.2904260498109827,5.3892289100743,8.12222656566882,6.299524037447186,7.7566926899125175,5.26343335302134,2591.92529296875,179.9406280517578,2002.3111572265625,1112.5172119140625,249.4231414794922,2235.41064453125,1379.6846923828125,1723.1429443359375,2209.897705078125,565.6663818359375,1143.40185546875,409.88140869140625,1664.6910400390625,938.92822265625,58.97991180419922,2609.885009765625,892.6734008789063,1900.6385498046875,1893.163330078125,1470.9542236328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.44400024414063,-17.558000564575195,3.618000030517578,173.44400024414063,-17.558000564575195,3.618000030517578,173.32899475097656,-17.586000442504883,3.5950000286102295,173.32899475097656,-17.586000442504883,3.5950000286102295,173.32899475097656,-17.586000442504883,3.5950000286102295,173.62899780273438,-17.39699935913086,3.7230000495910645,173.62899780273438,-17.39699935913086,3.7230000495910645,173.62899780273438,-17.39699935913086,3.7230000495910645,173.44400024414063,-17.558000564575195,3.618000030517578,173.44400024414063,-17.558000564575195,3.618000030517578,26.052115356769505,8.334405531147562,-1.0,0.0067424242424242425,2.5,0.0,7.12,0
L-1:7,9.772011862333406,6.780936940688913,4.431854430391366,9.394428117538563,0.7363106665313411,7.402972327861039,9.807809876227726,12.695602642007545,7.451853173138982,4.311134087525768,2286.077880859375,330.1253662109375,1646.3994140625,1468.4217529296875,260.06353759765625,2113.4150390625,1122.955078125,2168.467529296875,1695.2401123046875,1152.3040771484375,2818.58837890625,363.68841552734375,2803.9072265625,1336.90087890625,36.75408172607422,2010.033203125,1424.820068359375,2751.13427734375,2762.6708984375,1817.012451171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.4929962158203,-17.711000442504883,4.414000034332275,173.52499389648438,-17.40399932861328,4.199999809265137,173.52499389648438,-17.40399932861328,4.199999809265137,173.5050048828125,-17.5310001373291,4.236999988555908,173.5050048828125,-17.5310001373291,4.236999988555908,173.5050048828125,-17.5310001373291,4.236999988555908,173.5050048828125,-17.5310001373291,4.236999988555908,173.41200256347656,-17.746999740600586,4.251999855041504,173.41200256347656,-17.746999740600586,4.251999855041504,173.41200256347656,-17.746999740600586,4.251999855041504,9.832907413211059,11.630681439843052,-1.0,0.005823603002502085,1.5,0.0,7.98,0
L-1:8,7.97232388418524,6.82172037790793,7.008613142258398,19.902622004655523,6.821831658315155,10.80197590507844,17.55873039840603,26.044599913516755,16.3733977809421,3.6772008890168864,2251.486083984375,243.16064453125,2850.490478515625,1560.596923828125,2256.1015625,2793.428955078125,432.9233093261719,2215.975830078125,1264.3858642578125,1187.4188232421875,1529.2979736328125,8.574332237243652,2304.043701171875,864.1431274414063,133.1160888671875,1659.4906005859375,1072.3702392578125,2436.6982421875,2176.28515625,893.2147216796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.76199340820313,-20.41900062561035,3.2990000247955322,172.76199340820313,-20.41900062561035,3.2990000247955322,172.7469940185547,-20.415000915527344,3.1630001068115234,172.7469940185547,-20.415000915527344,3.1630001068115234,172.968994140625,-19.893999099731445,3.7039999961853027,172.8489990234375,-20.191999435424805,3.48799991607666,172.8489990234375,-20.191999435424805,3.48799991607666,172.8489990234375,-20.191999435424805,3.48799991607666,172.76199340820313,-20.41900062561035,3.2990000247955322,172.76199340820313,-20.41900062561035,3.2990000247955322,11.888071458452341,15.932561501052321,-1.0,0.0066199494949494946,7.5,4.86,7.49,0
L-1:9,5.756531371103613,2.898231566445848,3.4078207424626363,16.868396260990636,7.548226493316648,1.0521908155866095,13.995507690417746,9.90564559146432,3.1933908828794295,1.3762285904431941,1392.9068603515625,170.9040069580078,1340.9412841796875,1458.822509765625,1421.815185546875,1976.775390625,432.9233093261719,2215.975830078125,1148.762451171875,2253.728759765625,1446.741455078125,824.1573486328125,1474.1700439453125,598.5377197265625,14.144011497497559,1883.3450927734375,701.66455078125,1853.6241455078125,1417.1378173828125,1291.780029296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.15199279785156,-20.191999435424805,3.4019999504089355,174.15199279785156,-20.191999435424805,3.4019999504089355,174.2209930419922,-20.03499984741211,3.428999900817871,172.7469940185547,-20.415000915527344,3.1630001068115234,172.7469940185547,-20.415000915527344,3.1630001068115234,172.968994140625,-19.893999099731445,3.7039999961853027,173.94200134277344,-20.110000610351563,3.4010000228881836,174.0279998779297,-20.214000701904297,3.3519999980926514,174.0279998779297,-20.214000701904297,3.3519999980926514,174.0279998779297,-20.214000701904297,3.3519999980926514,44.99383140862135,13.233438759086015,-1.0,0.008601694915254239,3.0,0.0,9.57,0
L-1:10,6.270706399314382,5.501229774011612,3.893000817546077,5.253189846762189,17.404691174582133,35.74866475413541,27.398264591338712,19.138203114413532,9.021266624334121,9.23378917255372,1874.6497802734375,169.70721435546875,1013.5731201171875,1087.2117919921875,601.1327514648438,1414.590576171875,555.533203125,1953.78369140625,1107.483642578125,1933.772705078125,2240.326904296875,674.4627075195313,1509.976806640625,1873.0428466796875,313.85223388671875,1835.1925048828125,1217.152587890625,2561.366943359375,1834.2667236328125,2028.98876953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.4759979248047,-19.66699981689453,3.6510000228881836,174.4759979248047,-19.66699981689453,3.6510000228881836,174.48300170898438,-19.65999984741211,3.6459999084472656,174.48300170898438,-19.65999984741211,3.6459999084472656,174.48300170898438,-19.65999984741211,3.6459999084472656,174.5540008544922,-19.70400047302246,3.6559998989105225,174.5540008544922,-19.70400047302246,3.6559998989105225,174.5540008544922,-19.70400047302246,3.6559998989105225,174.60699462890625,-19.736000061035156,3.680999994277954,174.60699462890625,-19.736000061035156,3.680999994277954,17.43016345329462,11.717135151425353,-1.0,0.006538553069966682,15.5,0.0,7.85,0
