Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.2360680441398086,2.9463108756385306,3.5183054875934743,0.8895189586120565,3.690164001733459,1.490712029426539,5.073778097374655,6.323646989672254,8.678172596631912,2.6773038202190977,615.180908203125,4.962494373321533,660.2470703125,379.2710266113281,98.4286117553711,404.6541442871094,446.1797180175781,809.8624877929688,540.47900390625,365.9208068847656,915.7911987304688,145.43136596679688,451.74249267578125,345.33636474609375,145.74752807617188,858.4537963867188,219.97250366210938,939.186279296875,334.68048095703125,346.82708740234375,0.2196078598499298,0.2196078598499298,0.21568629145622253,0.1882353127002716,0.2392157018184662,0.24705883860588074,0.2392157018184662,0.22745099663734436,0.22745099663734436,0.2196078598499298,0.30000001192092896,0.3333333432674408,0.23333334922790527,0.20000001788139343,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.2666666805744171,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.839428380058575,4.524387306709617,1.0,0.017077414772727274,3.000000089406967,0.0,34.35,4
L-1:2,5.333333492279053,2.4550951781323422,2.5785732570768514,2.6786236721681576,1.9687365164718744,6.333333522081375,6.523838543840018,6.627039701823474,6.023331318989829,3.459458841601639,765.5439453125,155.7681427001953,562.5400390625,724.123779296875,196.10580444335938,518.4722900390625,540.2897338867188,1011.6824340820312,765.3681640625,452.45526123046875,815.4708862304688,94.17430114746094,727.0706787109375,450.45904541015625,235.45802307128906,835.8841552734375,211.61514282226562,776.4644775390625,361.6846923828125,300.42333984375,0.22745099663734436,0.22352942824363708,0.22745099663734436,0.21568629145622253,0.2392157018184662,0.250980406999588,0.250980406999588,0.2392157018184662,0.23137256503105164,0.22745099663734436,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1446604710703836,8.107090028540654,1.0,0.015107169253510716,1.666666716337204,0.0,23.36,100
L-1:3,7.340905400624436,8.772957037068597,4.7264504377864816,1.724930186767604,8.922944859582516,4.333333462476723,5.94612190739301,2.4123366616924464,10.887121238201457,2.635821989503348,528.1072387695312,29.788400650024414,743.2433471679688,613.0548095703125,354.1026306152344,1055.948486328125,642.3474731445312,882.9454956054688,1253.0946044921875,916.9754638671875,1299.6778564453125,377.001220703125,1237.8028564453125,952.045654296875,17.90818214416504,1404.4595947265625,532.68505859375,1113.5465087890625,475.5590515136719,623.2294921875,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.23137256503105164,0.23137256503105164,0.2352941334247589,0.24313727021217346,0.2392157018184662,0.24313727021217346,0.2352941334247589,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44030682005593,9.647758960924405,-1.0,0.009492775436484045,1.666666716337204,0.0,18.02,100
L-1:4,9.17121126812179,1.9022689205303918,1.1524932879590066,7.173221276681298,0.14842044049054204,8.06225798857255,11.64710497409718,16.686715415919103,13.098669251237137,11.721392603589631,739.2783813476562,231.12242126464844,709.063232421875,331.4847717285156,171.85081481933594,796.394775390625,149.78878784179688,703.7474365234375,413.7178955078125,283.55999755859375,591.8715209960938,7.229517796076834E-4,1148.5780029296875,932.616943359375,245.10365295410156,846.1513061523438,132.37844848632812,1090.6075439453125,759.8386840820312,485.72344970703125,0.22352942824363708,0.22352942824363708,0.2196078598499298,0.22352942824363708,0.22745099663734436,0.2392157018184662,0.24313727021217346,0.2392157018184662,0.22745099663734436,0.22745099663734436,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9015667531822884,12.120635873263176,1.0,0.01287465940054496,5.6666668355464935,4.6,29.7,4
L-1:5,5.696002666632456,4.68031040312432,1.8521985060840418,1.3460249917181553,1.3849851664352903,2.0000000596046448,9.96807255075513,9.326997424677682,2.9017247753356985,3.7379776558171947,583.2142944335938,69.28982543945312,580.5105590820312,431.33807373046875,225.62205505371094,784.9716186523438,185.11610412597656,524.54931640625,320.3668212890625,301.31353759765625,553.4993286132812,61.16781234741211,697.2803344726562,770.2150268554688,502.41204833984375,1016.8373413085938,286.79241943359375,598.423583984375,418.94110107421875,283.105712890625,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.22352942824363708,0.22745099663734436,0.2352941334247589,0.2392157018184662,0.2352941334247589,0.23137256503105164,0.2196078598499298,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47216280586801,7.664710650169375,-1.0,0.015297202797202798,1.0000000298023224,0.0,31.25,100
L-1:6,9.718253447702015,6.01363734455678,10.314135093747161,5.3665514042977405,2.4116841009677925,4.678556421971242,7.534222246079851,8.35067112931796,7.329725220019377,2.1937722646693394,599.345947265625,56.17279052734375,611.6104736328125,509.1009826660156,286.0337219238281,824.5337524414062,187.87197875976562,644.473388671875,524.3685302734375,247.28140258789062,479.30712890625,8.519072532653809,553.5296020507812,643.1107177734375,274.23602294921875,1381.56201171875,99.68909454345703,853.3256225585938,533.8540649414062,400.2846984863281,0.22352942824363708,0.2196078598499298,0.20784315466880798,0.21568629145622253,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.22745099663734436,0.23137256503105164,0.22352942824363708,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.699917280420348,11.728890952969206,-1.0,0.015431293129312932,2.0000000596046448,0.0,29.39,0
L-1:7,1.6996732218518027,6.876008467896146,7.8270071267279855,7.922580926038497,6.613832110884702,1.6666667163371889,2.7225820695679857,0.7908431423846638,7.580453221636158,16.468008333207607,769.33544921875,69.08837127685547,625.1493530273438,385.2146301269531,405.1401062011719,952.6764526367188,387.3299865722656,908.661376953125,779.8084106445312,424.5740661621094,875.1473999023438,69.80142974853516,632.2134399414062,492.32073974609375,468.4065246582031,1118.07666015625,121.05804443359375,954.025634765625,725.7687377929688,212.72296142578125,0.22745099663734436,0.22352942824363708,0.22745099663734436,0.22352942824363708,0.2352941334247589,0.2392157018184662,0.24313727021217346,0.24705883860588074,0.250980406999588,0.2392157018184662,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.630814801158966,5.721036726722262,-1.0,0.012937062937062937,5.000000149011612,0.0,22.2,0
L-1:8,0.7453560147132695,14.998562186002038,21.53349011455374,30.997203694521076,20.264314226934804,7.845735097781003,3.390822087196793,3.326168932051035,7.579093349456738,6.1812442382072925,1022.1911010742188,222.55111694335938,859.2469482421875,397.93060302734375,407.70379638671875,1054.9407958984375,32.838619232177734,696.5807495117188,757.8865356445312,157.0164794921875,778.0384521484375,212.3969268798828,748.9401245117188,743.4293823242188,136.27369689941406,1230.762451171875,401.2685241699219,872.3929443359375,625.7662353515625,438.3735046386719,0.21568629145622253,0.2196078598499298,0.21568629145622253,0.21568629145622253,0.22745099663734436,0.23137256503105164,0.22745099663734436,0.22352942824363708,0.22745099663734436,0.2196078598499298,0.30000001192092896,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.009252304862985,21.834124536456073,-1.0,0.01246694214876033,10.000000298023224,3.53,21.55,0
L-1:9,7.1956779294222075,4.185565970291715,2.1254876568872576,1.7751153217131395,3.122486041581933,8.359957718469117,12.857729068772622,5.247239860662879,1.6256339222136695,5.147189410337577,673.2396240234375,80.62345123291016,658.8714599609375,882.5934448242188,259.07403564453125,765.2838745117188,262.5314636230469,618.8010864257812,432.6255798339844,197.1431884765625,437.662353515625,87.5115737915039,541.2498168945312,406.79754638671875,414.6866149902344,563.2930297851562,261.71087646484375,1068.2332763671875,735.218017578125,698.5852661132812,0.21568629145622253,0.2196078598499298,0.21568629145622253,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.30000001192092896,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.573337943853893,5.817223479165836,-1.0,0.014515673981191222,11.000000327825546,0.0,26.46,0
L-1:10,4.013864979219926,2.903608824018623,3.347317145072654,3.662216561704967,1.5493971264736155,4.5338236380302845,8.70656666451865,3.990720037607321,1.4392474460635645,1.4827587798126918,658.3320922851562,49.56947708129883,626.0006713867188,404.7738037109375,141.16233825683594,452.1940612792969,177.33189392089844,640.71923828125,422.6460876464844,399.387451171875,787.2349853515625,63.352996826171875,1134.049560546875,690.7548217773438,339.1515808105469,765.7630615234375,133.8016815185547,456.209716796875,470.375732421875,395.3219909667969,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.2352941334247589,0.2392157018184662,0.24313727021217346,0.24313727021217346,0.23137256503105164,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5338236380302845,8.673260348601264,-1.0,0.017396103896103896,1.3333333730697632,0.0,26.79,0
