Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.23993335988786,10.168371227779978,7.629363242301981,5.23472840044341,3.3398133001275183,1.7149859229798656,3.6610503973088777,2.8366580528188226,14.58663062745591,11.300404865237667,2487.054443359375,186.317138671875,2500.13623046875,981.2552490234375,60.936485290527344,2276.826171875,901.5264282226562,1194.745849609375,1173.4879150390625,679.2545166015625,1942.111328125,518.6865844726562,1431.96044921875,1173.6961669921875,289.88397216796875,2220.64697265625,1330.362548828125,2713.934814453125,1401.1568603515625,1751.8446044921875,0.4274510145187378,0.41568630933761597,0.38823533058166504,0.38823533058166504,0.30980393290519714,0.3960784673690796,0.45098042488098145,0.43137258291244507,0.44705885648727417,0.44705885648727417,0.15427380800247192,0.1584433764219284,0.15427380800247192,0.15427380800247192,0.16052815318107605,0.16886727511882782,0.17095205187797546,0.17929118871688843,0.16886727511882782,0.17095205187797546,195.14292907714844,-40.654903411865234,-17.116600036621094,195.14292907714844,-40.654903411865234,-17.116600036621094,197.6963348388672,-38.96936798095703,-14.920477867126465,197.6963348388672,-38.96936798095703,-14.920477867126465,195.88983154296875,-37.43586730957031,-17.740554809570312,195.88983154296875,-37.43586730957031,-17.740554809570312,194.41897583007812,-40.25764846801758,-18.72141456604004,194.41897583007812,-40.25764846801758,-18.72141456604004,194.41897583007812,-40.25764846801758,-18.72141456604004,195.14292907714844,-40.654903411865234,-17.116600036621094,18.79133354281584,10.565601520675909,-1.0,0.006065340909090908,1.1764706373214722,0.0,10.37,100
L-1:2,1.8601634071228736,7.989157943728524,14.804462632250747,20.56353141020121,26.928646497357008,14.699999436390334,5.928608283654676,9.919317262035623,2.7928669334287144,0.896485391121363,1932.1173095703125,174.57711791992188,1401.654541015625,1159.4759521484375,639.361328125,2326.9677734375,1195.3262939453125,2971.592529296875,1632.90234375,721.29150390625,1094.466796875,251.66131591796875,233.9821319580078,228.03883361816406,1674.7880859375,3250.333740234375,450.24212646484375,1688.0203857421875,1878.812255859375,1378.372314453125,0.4117647409439087,0.3803921937942505,0.3490196168422699,0.34117648005485535,0.34117648005485535,0.34117648005485535,0.4117647409439087,0.43137258291244507,0.4705882668495178,0.4549019932746887,0.15218903124332428,0.15218903124332428,0.15218903124332428,0.15010423958301544,0.14593468606472015,0.1480194628238678,0.16469770669937134,0.1626129299402237,0.1626129299402237,0.15427380800247192,193.29969787597656,-40.323692321777344,-11.381726264953613,193.29969787597656,-40.323692321777344,-11.381726264953613,193.63624572753906,-41.31941223144531,-11.55754566192627,193.63624572753906,-41.31941223144531,-11.55754566192627,192.67684936523438,-42.94293212890625,-13.530096054077148,192.67684936523438,-42.94293212890625,-13.530096054077148,192.2921905517578,-43.57212829589844,-13.2830810546875,191.4735565185547,-41.36789321899414,-15.615161895751953,192.14393615722656,-41.02461242675781,-13.932662963867188,192.14393615722656,-41.02461242675781,-13.932662963867188,12.783126305177529,10.498575101758837,-1.0,0.005894341646554036,9.411765098571777,0.0,12.56,68
L-1:3,13.28747937566331,7.96829149213979,2.1895737441291163,2.555190082786745,11.689358524977312,2.530095772341074,15.48992880872613,6.0611747524820005,8.998207020769534,14.059871434961783,2327.447998046875,97.52190399169922,1032.87109375,577.9378051757812,113.42742156982422,1418.7305908203125,1205.7755126953125,4027.78857421875,1991.2388916015625,1369.4443359375,2210.024658203125,189.51210021972656,2204.77734375,1240.0166015625,227.48008728027344,2586.374267578125,1612.8995361328125,2670.3388671875,1987.9266357421875,1496.6456298828125,0.4745098352432251,0.458823561668396,0.4235294461250305,0.3490196168422699,0.364705890417099,0.3960784673690796,0.41568630933761597,0.43529415130615234,0.43529415130615234,0.4549019932746887,0.16469770669937134,0.15635858476161957,0.16052815318107605,0.15010423958301544,0.1480194628238678,0.15635858476161957,0.1730368435382843,0.16052815318107605,0.1584433764219284,0.1584433764219284,193.68075561523438,-42.7440185546875,-11.62619400024414,193.68075561523438,-42.7440185546875,-11.62619400024414,194.7229766845703,-41.883506774902344,-10.269062995910645,196.1808624267578,-38.08913040161133,-11.238439559936523,195.15762329101562,-39.46713638305664,-12.609918594360352,192.7400665283203,-43.511295318603516,-13.911663055419922,192.7400665283203,-43.511295318603516,-13.911663055419922,192.4981231689453,-44.81724166870117,-13.934479713439941,192.4981231689453,-44.81724166870117,-13.934479713439941,192.4981231689453,-44.81724166870117,-13.934479713439941,14.581830321625512,10.732737837233847,-1.0,0.005423154193872425,2.9411765933036804,0.0,12.34,36
L-1:4,4.096584958329931,5.4153522651732855,3.91636636719236,19.076002504148097,23.655879716193688,16.775023325319307,3.885998397091844,9.709117857918752,4.633941219383518,8.619723768395696,2735.8388671875,737.8030395507812,2541.702392578125,2624.1083984375,412.52960205078125,2765.555908203125,1420.8402099609375,2959.74560546875,2617.44580078125,2208.583740234375,3403.024658203125,818.8665771484375,3338.200439453125,1226.1534423828125,635.7872314453125,2230.985107421875,658.011474609375,1116.6737060546875,1998.210205078125,1324.66259765625,0.3803921937942505,0.41960787773132324,0.4274510145187378,0.458823561668396,0.4431372880935669,0.4549019932746887,0.46666669845581055,0.4274510145187378,0.40000003576278687,0.38431376218795776,0.1626129299402237,0.16678249835968018,0.1730368435382843,0.1626129299402237,0.16469770669937134,0.16886727511882782,0.16469770669937134,0.17929118871688843,0.17095205187797546,0.15218903124332428,193.97401428222656,-38.935821533203125,-13.38693618774414,193.97401428222656,-38.935821533203125,-13.38693618774414,192.84341430664062,-43.104862213134766,-16.819969177246094,192.84341430664062,-43.104862213134766,-16.819969177246094,192.84341430664062,-43.104862213134766,-16.819969177246094,192.01100158691406,-45.79964065551758,-16.881074905395508,192.01100158691406,-45.79964065551758,-16.881074905395508,192.01100158691406,-45.79964065551758,-16.881074905395508,192.13314819335938,-44.88433837890625,-16.04810905456543,192.0946807861328,-43.02711868286133,-15.003824234008789,16.026039169629346,18.64566665327015,1.0,0.004829376854599407,9.705882757902145,2.78,10.23,64
L-1:5,13.644016457205883,3.9491277528883466,8.135196770511136,0.9078679480938961,5.311366582600884,5.710731955607824,2.998795563001459,3.7186337816708273,8.469815501205828,8.366755596480587,2282.1142578125,192.83653259277344,1273.7667236328125,1584.9603271484375,718.2468872070312,2937.249755859375,875.7181396484375,1477.6162109375,996.2578125,1069.5054931640625,2715.234130859375,170.51321411132812,1156.6710205078125,1618.714599609375,851.68115234375,2621.43115234375,930.4474487304688,2708.814208984375,2786.14013671875,2430.499755859375,0.45098042488098145,0.4392157196998596,0.40392160415649414,0.3960784673690796,0.3921568989753723,0.45098042488098145,0.46666669845581055,0.501960813999176,0.4941176772117615,0.4862745404243469,0.16052815318107605,0.16469770669937134,0.16469770669937134,0.16052815318107605,0.1584433764219284,0.17512162029743195,0.18346074223518372,0.1772063970565796,0.17512162029743195,0.16052815318107605,195.72894287109375,-43.0399284362793,-10.880105018615723,195.72894287109375,-43.0399284362793,-10.880105018615723,196.3535919189453,-42.608154296875,-10.557968139648438,195.44384765625,-41.92313766479492,-12.47912883758545,195.44384765625,-41.92313766479492,-12.47912883758545,193.8073272705078,-45.24016571044922,-13.727917671203613,193.8073272705078,-45.24016571044922,-13.727917671203613,193.582763671875,-45.503211975097656,-13.243352890014648,193.582763671875,-45.503211975097656,-13.243352890014648,193.582763671875,-45.503211975097656,-13.243352890014648,9.88252842198499,9.18689167173543,-1.0,0.005312173458725182,2.3529412746429443,0.0,11.62,36
L-1:6,2.896723003741904,2.58574444448441,11.942278347702734,5.203024048538128,13.505746528169048,6.1834696820028725,3.2543501774378014,14.702344869757065,4.97646714048999,3.496418332544687,1662.137939453125,84.54942321777344,886.67724609375,1006.7987060546875,798.5880126953125,2453.852783203125,794.6988525390625,3076.475830078125,964.8615112304688,504.6504211425781,2208.807861328125,349.38446044921875,2728.221435546875,1540.431640625,699.70556640625,1735.0845947265625,2009.51953125,3064.029052734375,2162.719482421875,1431.2354736328125,0.4117647409439087,0.41960787773132324,0.41568630933761597,0.364705890417099,0.38431376218795776,0.3607843220233917,0.3960784673690796,0.48235297203063965,0.4862745404243469,0.45098042488098145,0.15427380800247192,0.16469770669937134,0.17095205187797546,0.1480194628238678,0.18137596547603607,0.16469770669937134,0.16469770669937134,0.1772063970565796,0.17512162029743195,0.15427380800247192,196.38999938964844,-42.52182388305664,-9.290331840515137,196.38999938964844,-42.52182388305664,-9.290331840515137,196.76458740234375,-42.452701568603516,-9.181496620178223,197.7801971435547,-39.8432731628418,-8.684846878051758,195.68698120117188,-42.35194396972656,-11.872090339660645,195.68698120117188,-42.35194396972656,-11.872090339660645,194.44064331054688,-44.47010040283203,-12.28227424621582,194.44064331054688,-44.47010040283203,-12.28227424621582,194.88662719726562,-44.305633544921875,-11.824440002441406,194.88662719726562,-44.305633544921875,-11.824440002441406,7.4056934337038145,11.418574342677056,-1.0,0.005752101944298475,2.3529412746429443,0.0,12.51,32
L-1:7,5.91169178849081,2.0813703985517042,2.528317779055482,2.190918248568211,1.8172173459018381,1.212678175778523,3.419357377664804,2.2589300709513926,6.690452788291536,7.038767246938023,1291.578857421875,230.3055419921875,2475.300048828125,1830.0928955078125,457.0299377441406,1957.996826171875,619.1859741210938,2353.87158203125,1499.6417236328125,1551.5379638671875,3191.977294921875,26.678001403808594,2404.721923828125,1709.9931640625,404.79473876953125,2135.631103515625,1186.9354248046875,2627.115966796875,2165.34814453125,1658.976318359375,0.43137258291244507,0.45098042488098145,0.41960787773132324,0.41960787773132324,0.45098042488098145,0.41568630933761597,0.45098042488098145,0.45098042488098145,0.458823561668396,0.45098042488098145,0.16886727511882782,0.15218903124332428,0.15010423958301544,0.17095205187797546,0.1626129299402237,0.1584433764219284,0.1626129299402237,0.15635858476161957,0.15635858476161957,0.1626129299402237,193.3079833984375,-43.94131088256836,-10.3265962600708,193.3079833984375,-43.94131088256836,-10.3265962600708,196.24169921875,-41.096370697021484,-9.98094654083252,196.24169921875,-41.096370697021484,-9.98094654083252,193.77145385742188,-42.96754455566406,-10.787362098693848,193.77145385742188,-42.96754455566406,-10.787362098693848,192.54254150390625,-45.30287551879883,-11.329086303710938,192.54254150390625,-45.30287551879883,-11.329086303710938,192.32101440429688,-45.11885452270508,-11.372471809387207,192.32101440429688,-45.11885452270508,-11.372471809387207,17.220331504728716,8.835910819645052,-1.0,0.005717975206611571,1.1764706373214722,0.0,11.07,76
L-1:8,6.60947235054638,8.400405856466682,3.140406874526686,3.760346412061175,4.8354581939507275,5.710731955607824,9.591508104477086,7.31405770935719,8.484900556721266,6.929861701509014,3930.900634765625,917.187255859375,2702.927001953125,2126.851806640625,131.2907257080078,1808.6544189453125,161.69515991210938,1998.3309326171875,2027.11181640625,1052.5491943359375,3406.870361328125,36.940853118896484,3165.543212890625,2485.080322265625,1336.201171875,3668.52392578125,1575.531982421875,3608.04931640625,3128.14501953125,2648.6376953125,0.48235297203063965,0.43529415130615234,0.4274510145187378,0.3921568989753723,0.41568630933761597,0.43529415130615234,0.46274513006210327,0.4784314036369324,0.4941176772117615,0.4901961088180542,0.16678249835968018,0.17929118871688843,0.17095205187797546,0.1584433764219284,0.15427380800247192,0.16678249835968018,0.16886727511882782,0.17095205187797546,0.17929118871688843,0.1584433764219284,192.72293090820312,-45.583335876464844,-13.976487159729004,195.9693145751953,-41.779476165771484,-10.219538688659668,195.9693145751953,-41.779476165771484,-10.219538688659668,194.75035095214844,-43.32562255859375,-11.718505859375,193.98228454589844,-43.06336212158203,-13.082788467407227,193.98228454589844,-43.06336212158203,-13.082788467407227,193.98228454589844,-43.06336212158203,-13.082788467407227,192.72293090820312,-45.583335876464844,-13.976487159729004,192.72293090820312,-45.583335876464844,-13.976487159729004,192.72293090820312,-45.583335876464844,-13.976487159729004,15.025929773336268,21.365950436853662,-1.0,0.0046680622009569375,7.647059142589569,2.98,8.92,68
L-1:9,6.9227075217436305,7.775204898946604,3.8996339785002614,5.858855033939851,2.0053680659346718,10.497981789524472,7.775204898946604,5.06969471831155,1.9173907912957417,6.026883288429198,3050.867919921875,107.19306182861328,1310.68359375,1597.505615234375,441.818603515625,2950.16015625,729.4699096679688,2043.3248291015625,1140.25634765625,832.6636352539062,3472.539306640625,514.8431396484375,1948.6822509765625,1710.8056640625,53.68110656738281,2735.6162109375,775.72119140625,3054.948486328125,2348.03125,1593.851318359375,0.45098042488098145,0.40000003576278687,0.4078431725502014,0.4078431725502014,0.4078431725502014,0.41960787773132324,0.4431372880935669,0.4901961088180542,0.5058823823928833,0.46666669845581055,0.16469770669937134,0.1584433764219284,0.1584433764219284,0.16052815318107605,0.16678249835968018,0.16469770669937134,0.1730368435382843,0.17929118871688843,0.1772063970565796,0.16469770669937134,193.3453369140625,-44.96049499511719,-11.933061599731445,195.13961791992188,-42.411521911621094,-9.219375610351562,195.13961791992188,-42.411521911621094,-9.219375610351562,193.69114685058594,-43.736358642578125,-10.646207809448242,193.69114685058594,-43.736358642578125,-10.646207809448242,192.60472106933594,-45.39876174926758,-12.837709426879883,192.60472106933594,-45.39876174926758,-12.837709426879883,192.60472106933594,-45.39876174926758,-12.837709426879883,193.3453369140625,-44.96049499511719,-11.933061599731445,193.3453369140625,-44.96049499511719,-11.933061599731445,20.934071049054232,7.119361759297647,-1.0,0.00493332377401778,3.5294119119644165,0.0,9.83,100
L-1:10,19.41399355202578,8.220446259390151,7.0718588143047,17.304132560355978,10.409214340195275,7.276069054671234,15.674691671621275,1.4412282796534066,0.7457251765806417,11.144414149851304,2707.02490234375,111.95649719238281,2364.1328125,712.482666015625,1360.1668701171875,2195.799072265625,637.7471923828125,2542.88623046875,2554.750732421875,1199.974365234375,3297.173828125,1266.2965087890625,3946.36474609375,3071.193603515625,53.769020080566406,214.8579559326172,874.7850952148438,2091.75927734375,1078.5107421875,718.4964599609375,0.41960787773132324,0.43529415130615234,0.43529415130615234,0.43137258291244507,0.4549019932746887,0.38823533058166504,0.4549019932746887,0.4862745404243469,0.43137258291244507,0.41960787773132324,0.15635858476161957,0.1584433764219284,0.18137596547603607,0.16469770669937134,0.17512162029743195,0.16469770669937134,0.16886727511882782,0.1730368435382843,0.18346074223518372,0.1730368435382843,192.68394470214844,-42.799835205078125,-9.355238914489746,194.32884216308594,-42.08777618408203,-8.251818656921387,194.32884216308594,-42.08777618408203,-8.251818656921387,194.32884216308594,-42.08777618408203,-8.251818656921387,192.1487579345703,-44.42774963378906,-11.722152709960938,192.1487579345703,-44.42774963378906,-11.722152709960938,191.72137451171875,-44.88671875,-11.501483917236328,191.72137451171875,-44.88671875,-11.501483917236328,190.39280700683594,-45.472076416015625,-11.360994338989258,192.68394470214844,-42.799835205078125,-9.355238914489746,3.8235295712947845,4.749170667368662,1.0,0.0049136939010356725,2.6470589339733124,0.0,9.76,68
