Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.413941699828855,3.075409591047636,2.7303338333787797,1.517806397234745,1.4585445201769331,3.941127759157329,4.156476378855508,9.129564098308407,9.569343648103251,5.127713042804149,1183.90576171875,228.13772583007812,883.7734985351562,510.4559326171875,320.0564880371094,588.5551147460938,169.4471893310547,805.4462280273438,472.40399169921875,443.21978759765625,0.0,0.0,640.5186157226562,645.73193359375,184.73849487304688,740.019775390625,269.0068664550781,1174.42822265625,748.7807006835938,687.930419921875,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.20000001788139343,0.20784315466880798,0.19215688109397888,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,180.625,-0.3125,-0.875,180.578125,-0.390625,-1.03125,180.515625,-0.078125,-1.265625,180.515625,-0.3125,-0.875,180.484375,-0.3125,-0.875,180.4375,-0.171875,-1.03125,180.8125,-0.171875,-0.78125,180.703125,-0.21875,-1.171875,180.6875,-0.21875,-1.171875,180.671875,-0.3125,-0.875,14.13941699828855,9.788586471887317,1.0,0.012092402902262059,3.5294118225574493,0.0,16.19,96
L-1:2,2.854945101416007,0.5792173256443668,6.194688395514006,2.1090127024915555,0.6752435879394371,1.7537788346288627,1.062758976240028,0.9697423948356303,4.381447243778781,3.1482145438896607,1449.522705078125,12.859243392944336,1239.666015625,716.443359375,109.68389129638672,650.2625122070312,344.12811279296875,743.5350952148438,366.57183837890625,487.70111083984375,521.6566772460938,34.96263122558594,837.6748657226562,514.8163452148438,141.90989685058594,760.0436401367188,378.13995361328125,2481.38330078125,1333.8446044921875,1082.03564453125,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.20784315466880798,0.20784315466880798,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,181.09375,-0.171875,-0.875,181.0625,-0.3125,-1.09375,181.046875,0.0,-0.78125,180.96875,-0.078125,-0.875,180.9375,-0.078125,-1.09375,180.96875,-0.078125,-1.03125,180.96875,0.0,-1.265625,181.03125,-0.3125,-1.09375,181.125,0.0,-1.171875,181.125,-0.171875,-0.875,2.5110291538777387,11.530843568654316,1.0,0.010420750253464008,5.098039299249649,0.0,17.62,32
L-1:3,6.286752864570025,2.8224244780795855,8.668107495429965,5.2183172787558965,4.661921969790061,6.323339514077847,6.030857470732625,4.985290918673874,5.866633059283829,5.729620294239159,1160.68896484375,109.04413604736328,0.0,0.0,162.3573760986328,636.2671508789062,283.4241943359375,1170.37841796875,374.47540283203125,285.27423095703125,756.608642578125,78.82634735107422,984.9183959960938,837.220703125,343.5422668457031,1024.68994140625,283.87445068359375,1136.9027099609375,688.139404296875,345.6026306152344,0.2039215862751007,0.19215688109397888,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.20784315466880798,0.20784315466880798,0.21176472306251526,0.21176472306251526,0.20784315466880798,0.30000001192092896,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,181.203125,-0.21875,-1.09375,181.109375,-0.21875,-1.03125,181.125,-0.390625,-0.953125,181.140625,-0.171875,-1.03125,181.140625,-0.171875,-1.09375,181.1875,0.0,-0.640625,181.234375,0.0,-0.640625,181.234375,-0.171875,-1.015625,181.234375,-0.078125,-1.03125,181.234375,-0.078125,-1.03125,3.161669757038922,2.656695015008396,-1.0,0.011539125431530496,3.5294118225574493,0.0,17.19,68
L-1:4,5.490196168422699,4.787107529071411,4.879051518073399,1.4511107063880175,18.27611881062861,9.803921729326253,0.647271873158573,4.647073884463839,3.7437613324273644,2.499299670310733,1986.83056640625,11.51697826385498,860.572998046875,733.9122314453125,395.2245788574219,957.8702392578125,174.81358337402344,1157.8331298828125,216.86729431152344,350.83038330078125,980.2067260742188,184.44387817382812,461.59051513671875,381.8160400390625,320.49554443359375,1406.919189453125,174.6557159423828,1096.6981201171875,823.0513916015625,718.3867797851562,0.2039215862751007,0.2039215862751007,0.20000001788139343,0.19607844948768616,0.2039215862751007,0.20784315466880798,0.21176472306251526,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,181.515625,-0.078125,-0.78125,181.46875,-0.171875,-0.78125,181.421875,-0.171875,-0.78125,181.328125,-0.25,-1.125,181.6875,-0.21875,-0.875,181.625,-0.171875,-1.09375,181.59375,-0.171875,-1.03125,181.578125,-0.171875,-1.03125,181.5625,0.0,-1.171875,181.5625,-0.078125,-0.78125,7.4406534400050575,13.043282344577415,1.0,0.011540832049306626,1.1764706075191498,2.81,17.12,68
L-1:5,6.383851318796223,10.809407687641372,3.122178652871891,4.626794678916656,1.665734887072006,2.772967814811494,2.862449373546132,3.971813660620224,4.035658653028436,4.258001589322476,1113.4510498046875,184.9210968017578,1215.726806640625,666.6449584960938,347.3169250488281,649.1470336914062,539.3975830078125,955.014404296875,721.65283203125,403.3846435546875,839.4032592773438,33.84809494018555,1007.9038696289062,727.5613403320312,566.3623046875,1290.8369140625,660.3529052734375,1479.5406494140625,1217.9276123046875,571.9445190429688,0.2039215862751007,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.20784315466880798,0.21176472306251526,0.20784315466880798,0.20784315466880798,0.21568629145622253,0.21176472306251526,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,181.90625,-0.3125,-0.875,181.78125,-0.3125,-1.09375,181.75,-0.390625,-0.875,181.65625,-0.5625,-1.171875,181.53125,-0.3125,-1.171875,181.46875,-0.3125,-1.171875,181.375,-0.46875,-1.171875,181.375,-0.171875,-0.875,181.375,-0.171875,-0.875,181.375,-0.078125,-1.03125,2.5110291538777387,7.886074113416016,-1.0,0.01060840707964602,0.0,0.0,15.07,32
L-1:6,7.543287990966219,8.087929033961226,1.5848693914327907,0.8973535732229334,3.053357870480979,2.111829370746767,3.0742351962186047,7.529782098699393,5.030309553129497,3.2375114066086663,1496.6741943359375,143.48939514160156,979.8578491210938,834.5635375976562,147.48255920410156,1094.1343994140625,136.5304718017578,719.0491943359375,489.290771484375,371.5249328613281,848.9461669921875,259.1563720703125,717.725830078125,529.1006469726562,291.485595703125,1059.04052734375,0.0,0.0,742.8163452148438,883.1891479492188,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.20784315466880798,0.1882353127002716,0.20784315466880798,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.20000001788139343,0.30000001192092896,181.75,-0.3125,-0.703125,181.71875,-0.3125,-0.875,181.71875,-0.171875,-1.015625,181.734375,-0.171875,-1.015625,181.75,-0.171875,-0.875,181.71875,-0.171875,-0.953125,181.6875,-0.390625,-0.78125,181.609375,-0.078125,-1.03125,181.53125,-0.46875,-0.78125,181.796875,-0.390625,-0.78125,4.590078471597885,5.578645332745393,1.0,0.011993006993006995,0.7843137383460999,0.0,19.6,68
L-1:7,10.203617289805367,14.71463346324914,12.252634595509736,3.6038861839145366,2.5021243451591206,1.2401089066675097,3.613255665459705,2.334312217649392,7.5419926947828415,17.035175007331013,1088.491455078125,64.52745056152344,1141.302490234375,975.4580078125,338.478271484375,1035.2781982421875,252.34544372558594,1087.8956298828125,971.09130859375,598.4796752929688,1057.54833984375,29.292043685913086,767.5984497070312,656.9427490234375,398.6676330566406,1288.0555419921875,91.0700454711914,1414.9697265625,901.9815673828125,536.4146118164062,0.2039215862751007,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.2039215862751007,0.20784315466880798,0.20784315466880798,0.21176472306251526,0.21176472306251526,0.20784315466880798,0.30000001192092896,0.2666666805744171,0.23333334922790527,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,181.859375,-0.390625,-1.203125,181.84375,-0.390625,-0.953125,181.8125,-0.171875,-0.953125,181.875,-0.21875,-0.78125,181.890625,-0.21875,-0.78125,181.890625,-0.21875,-0.78125,181.890625,0.0,-0.78125,181.890625,-0.390625,-0.875,181.890625,-0.390625,-0.875,181.953125,-0.078125,-0.5625,10.419867037921534,6.254629912621727,-1.0,0.00956802063185042,5.882353037595749,0.0,16.96,0
L-1:8,3.373460944331657,13.69153993210389,16.056809090499684,7.672616935199289,1.0990085747620177,2.772967814811497,3.0406118427175537,2.1260640377014233,3.7798566887940996,5.286994206682721,1628.5679931640625,255.47215270996094,774.9173583984375,738.417236328125,377.0189208984375,686.0185546875,154.56436157226562,871.7794189453125,458.94512939453125,425.5442810058594,973.15771484375,9.626931190490723,786.1777954101562,514.6162719726562,125.56925201416016,420.86102294921875,538.2279663085938,1760.5196533203125,880.4360961914062,791.0401611328125,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,181.734375,-0.21875,-1.171875,181.765625,-0.3125,-0.953125,181.765625,-0.3125,-0.953125,181.765625,-0.3125,-0.78125,181.734375,-0.3125,-1.09375,181.765625,-0.21875,-1.03125,181.78125,-0.21875,-1.03125,181.828125,0.0,-0.875,181.765625,0.0,-0.640625,181.734375,0.0,-0.640625,8.337369401550053,7.9184088263707375,1.0,0.012406417112299464,7.8431373834609985,3.42,18.56,0
L-1:9,2.4802178133350194,9.087228565690753,11.73551958734675,6.306962304607364,1.7577240934162088,0.7843137383460999,0.5604924480198583,2.934031891355683,6.44001715110974,3.678961370256798,1077.4693603515625,175.6801300048828,508.2033386230469,375.1220397949219,233.20712280273438,897.992919921875,137.72125244140625,746.06689453125,531.3045654296875,276.9436340332031,836.6419677734375,54.211246490478516,496.33746337890625,366.3990478515625,246.7905731201172,931.4893188476562,203.09637451171875,1235.3656005859375,1040.45751953125,663.0597534179688,0.21176472306251526,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.21176472306251526,0.20784315466880798,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,181.796875,-0.390625,-1.265625,181.96875,-0.3125,-1.265625,182.09375,-0.171875,-0.953125,182.109375,0.0,-0.953125,182.09375,0.0,-1.09375,182.078125,0.0,-1.09375,182.03125,-0.078125,-0.78125,181.96875,-0.078125,-0.703125,181.671875,-0.21875,-0.703125,181.75,0.078125,-0.875,2.4802178133350194,9.018166690571976,1.0,0.013513065881486935,4.313725560903549,0.0,20.98,0
L-1:10,5.97315547505581,6.969704367064105,1.4354524195999143,4.800237786961493,17.249673942628654,16.381646209069373,8.446632780987613,4.25806671077708,0.7414708930577234,2.9832195107459185,1221.969482421875,72.1697769165039,1144.058837890625,780.9306030273438,387.7046813964844,841.4664916992188,144.63839721679688,1159.424560546875,484.5042419433594,728.6500244140625,622.0528564453125,118.20331573486328,672.9370727539062,602.9346923828125,282.8789367675781,676.5468139648438,432.04638671875,942.9999389648438,2068.70703125,1233.2933349609375,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.20784315466880798,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,181.6875,-0.3125,-1.171875,181.71875,0.0,-0.78125,181.65625,-0.171875,-0.953125,181.640625,-0.171875,-0.953125,181.578125,-0.078125,-0.78125,181.421875,-0.390625,-0.953125,181.3125,-0.3125,-1.265625,181.28125,-0.078125,-0.875,181.1875,-0.078125,-1.09375,181.65625,-0.3125,-1.171875,5.462113139407135,25.6297328919794,1.0,0.011268439108061749,1.5686274766921997,0.0,18.77,0
